"Agency","Fiscal_Year","Program_Name","Gaa1","raa7","raa6"
"DOI","2023","National Parks and Public Land Legacy Restoration Fund, U.S. Fish and Wildlife Services, Department-Wide Programs, Interior","No","",""
"DOI","2023","National Recreation and Preservation, National Park Service, Interior","No","",""
"DOI","2023","National Wildlife Refuge Fund, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2023","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, Interior","No","",""
"DOI","2023","Natural Resource Damage Assessment and Restoration Fund, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2023","Natural Resource Damage Assessment Fund, Natural Resource Damage Assessment and Restoration, Interior","No","",""
"DOI","2023","Natural Resource Damage Assessment Program, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2023","North American Wetlands Conservation Fund, United States Fish and Wildlife Service, Interior","No","",""
"ED","2023","Child Care Access Means Parents in School","Yes","",""
"ED","2023","Child Care Provider Loan Forgiveness Demonstration","No","",""
"ED","2023","Civil Rights Training and Advisory Services (Equity Assistance Centers)","No","",""
"ED","2023","College Access Challenge Grant Program","No","",""
"DOI","2023","Ocean Energy Management, Bureau of Ocean Energy Management, Interior - 234M19172D","No","",""
"DOI","2023","Ocean Energy Management, Bureau of Ocean Energy Management, Interior - IRA 226M19175D","No","",""
"DOI","2023","Office of Inspector General Operations, Interior","No","",""
"DOI","2023","Office of Natural Resources Revenue, Department-Wide Programs, Interior","No","",""
"DOI","2023","Office of the Solicitor Operations, Interior","No","",""
"DOI","2023","Office of the Special Trustee for American Indians Operations, Interior","No","",""
"DOI","2023","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior - 234E1700D2","No","",""
"DOI","2023","Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior","No","",""
"DOI","2023","Operation and Maintenance of Quarters, Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Operation and Maintenance of Quarters, Interior","No","",""
"DOI","2023","Operation and Maintenance of Quarters, National Park Service, Interior","No","",""
"DOI","2023","Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T), Interior - BIL 5240-A000","Yes","","Yes"
"DOI","2023","Operation of Indian Education Programs, Bureau of Indian Education, Interior","No","",""
"DOI","2023","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL 221A2100S1, 221A2100S3","No","",""
"DOI","2023","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior - IRA 221A2100S4, 221A2100S5, 221A2100S2","No","",""
"DOI","2023","Operation of the National Park System, National Park Service, Interior - IRA 20P10361B, 221P10361C, 221P10361D, 226P10361E","No","",""
"DOI","2023","Operations - Office of Natural Resources Revenue, Interior","No","",""
"DOI","2023","Oregon and California Grant Lands, Bureau of Land Management, Interior","No","",""
"DOI","2023","Outer Continental Shelf Revenues, Land and Water Conservation Fund (LWCF) Share from Certain Leases, National Park Service, Interior","No","",""
"DOI","2023","Park Buildings Lease and Maintenance Fund, National Park Service, Interior","No","",""
"DOI","2023","Park Concession Franchise Fees, National Park Service, Interior","No","",""
"DOI","2023","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services for Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services, Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Payment to the United States Territories, Fiscal Assistance, Insular Affairs, Interior","No","",""
"DOI","2023","Payments for Tribal Leases, Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Payments in Lieu of Taxes, Departmental Management, Interior","No","",""
"DOI","2023","Payments to Counties Oregon and California Grant Lands, Interior","No","",""
"DOI","2023","Payments to State and County from Clark County, Nevada Land Sales, Bureau of Land Management, Interior","No","",""
"DOI","2023","Payments to States from Receipts under Mineral Leasing, Public and Acquired
Military Lands, Office of Natural Resources Revenue, Interior","No","",""
"DOI","2023","Payments to States in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement, Interior","No","",""
"DOI","2023","Permit Processing Fund, Bureau of Land Management, Interior","No","",""
"DOI","2023","Policy and Administration, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000","Yes","","Yes"
"DOI","2023","Range Improvements, Bureau of Land Management, Interior","No","",""
"DOI","2023","Reclamation Trust Funds, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Reclamation Water Settlements Fund, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Recreation Enhancement Fee Program, Bureau of Land Management, Interior","No","",""
"DOI","2023","Recreation Enhancement Fee Program, National Park Service, Interior","No","",""
"DOI","2023","Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 223S180110, 234S180110","No","",""
"DOI","2023","Resource Management, United States Fish and Wildlife Service, Interior - BIL 23XF1611WF, 23XF1611BC, 23XF1611BL","No","",""
"DOI","2023","Resource Management, United States Fish and Wildlife Service, Interior 226F1611EN, 22XF1611IA, 226F1611AA, 226F1611RA","No","",""
"DOI","2023","Royalty Offshore, Interior","No","",""
"DOI","2023","Salaries and Expenses, Office of the Inspector General, Interior","No","",""
"DOI","2023","Salaries and Expenses, Office of the Inspector General, Interior - BIL 22XD0104IA, 23XD0104IA, 224D0104IB, 235D0104IB, 220D0104IC","No","",""
"DOI","2023","Salaries and Expenses, Office of the Inspector General, Interior - IRA 221D0104IW","No","",""
"DOI","2023","Salaries and Expenses, Office of the Solicitor, Interior","No","",""
"DOI","2023","San Gabriel Basin Restoration Fund, Department of the Interior, Bureau of Reclamation, Interior","Yes","","Yes"
"DOI","2023","Selis-Qlispe Ksanka Settlement Trust Fund","No","",""
"DOI","2023","Service Charges, Deposits and Forfeitures, Bureau of Land Management, Interior","No","",""
"DOI","2023","Southern Nevada Public Land Management, Bureau of Land Management, Interior","No","",""
"DOI","2023","Sport Fish Restoration Account, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2023","State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2023","Supplemental Payments to United Mine Workers of America (UMWA) Health Plans, Office of Surface Mining Reclamation and Enforcement, Interior","No","",""
"DOI","2023","Surveys, Investigations, and Research, Geological Survey, Interior - BIL 224G0804ID, 22XG0804ID, 235G0804ID","Yes","","Yes"
"DOI","2023","Surveys, Investigations, and Research, Geological Survey, Interior - IRA 221G0804RD","No","",""
"DOI","2023","Temporary Assistance for Needy Families, Interior","No","",""
"DOI","2023","Training and Employment Services, Employment and Training Administration, Interior","No","",""
"DOI","2023","Transportation Systems Fund, National Park Service, Interior","No","",""
"DOI","2023","Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior","No","",""
"DOI","2023","Upper Colorado River Basin Fund, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Utah Navajo Settlement Trust Fund - Infrastructure Investment and Jobs Act, Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Utah Reclamation Mitigation and Conservation Account, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Utah Reclamation Mitigation and Conservation Account, Interior","No","",""
"DOI","2023","Water and Related Resources, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Water and Related Resources, Bureau of Reclamation, Interior - BIL 22XR06801A, 22XR06801B, 22XR06801F, 22XR06801H, 22XR06801J, 22XR06801K, 22XR06801L, 22XR06801M, 22XR06801N, 22XR06801P, 22XR06801Q, 22XR06801S, 22XR06801T, 22XR06801U, 22XR06801W, 22XR0680Z","Yes","","Yes"
"DOI","2023","Water and Related Resources, Bureau of Reclamation, Interior - IRA 226R068081","Yes","","Yes"
"DOI","2023","White Mountain Apache Fund Settlement Fund, Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Wildfire Management, Bureau of Land Management, Interior","No","",""
"DOI","2023","Wildfire Management, National Park Service, Interior","No","",""
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior","No","",""
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior - BIL  22XD1125DI, 23XD1125DI, 22XD1125FI, 23XD1125FI","No","",""
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior - BIL 20XP11258C; 21XP11258C; 22XP1125D1, DS, 8C; 23XP1125D1, DS, 8C","Yes","","Yes"
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior - BIL 22XA1125BI, 23XA1125BI","Yes","","Yes"
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior - BIL 22XL1125DI, 23XL1125DI","Yes","","Yes"
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior - BIL 23XF1125DI","No","",""
"DOI","2023","Wildland Fire Management, Department-Wide Programs, Interior - FIRE DISASTER RELIEF SUPPLEMENTAL 23XF1125DR","No","",""
"DOI","2023","Wildland Fire Management, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2023","Wildland Fire, Bureau of Indian Affairs, Interior","No","",""
"DOI","2023","Working Capital Fund, Bureau of Land Management, Interior","No","",""
"DOI","2023","Working Capital Fund, Bureau of Reclamation, Interior","No","",""
"DOI","2023","Working Capital Fund, Departmental Management, Interior","No","",""
"DOI","2023","Working Capital Fund, U.S. Geological Survey, Interior","No","",""
"DOI","2024","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior","Yes","","Yes"
"DOI","2024","Aging Infrastructure Account, Bureau of Reclamation, Interior - BIL","Yes","","Yes"
"DOI","2024","California Bay-Delta Restoration, Bureau of Reclamation, Interior","No","",""
"DOI","2024","CARES 201A2100CA - Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","No","",""
"DOI","2024","Central Utah Project Completion Account, Central Utah Project, Interior","No","",""
"DOI","2024","Central Valley Project Restoration Fund, Bureau of Reclamation, Interior","No","",""
"DOI","2024","Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior","No","",""
"DOI","2024","Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL","Yes","","Yes"
"DOI","2024","Construction, National Park Service, Interior - DSTR","No","",""
"DOI","2024","Cooperative Endangered Species Conservation Fund, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2024","Energy Community Revitalization Program, Department-Wide Program, Interior","No","",""
"DOI","2024","Federal Aid to Wildlife Restoration, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2024","Historic Preservation Fund, National Park Service, Interior","No","",""
"DOI","2024","Historic Preservation Fund, National Park Service, Interior - HURR","Yes","","Yes"
"DOI","2024","Land Acquisition and State Assistance, National Park Service, Interior","No","",""
"DOI","2024","Land Acquisition, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2024","Lower Colorado River Basin Development Fund, Bureau of Reclamation, Interior","No","",""
"DOI","2024","Management of Lands and Resources, Bureau of Land Management, Interior","Yes","","Yes"
"DOI","2024","Management of Lands and Resources, Bureau of Land Management, Interior - IRA","Yes","","Yes"
"DOI","2024","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Bureau of Land Management, Interior - GAOA","Yes","","Yes"
"DOI","2024","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, National Park Service, Interior - GAOA","No","",""
"DOI","2024","National Recreation and Preservation, National Park Service, Interior","No","",""
"DOI","2024","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, Interior","No","",""
"DOI","2024","North American Wetlands Conservation Fund, United States Fish and Wildlife Service, Interior","No","",""
"DOI","2024","Ocean Energy Management, Bureau of Ocean Energy Management, Interior","No","",""
"DOI","2024","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior","No","",""
"DOI","2024","Operation of the National Park System, National Park Service, Interior - IRA","No","",""
"DOI","2024","Resource Management, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2024","Resource Management, United States Fish and Wildlife Service, Interior - BIL","Yes","","Yes"
"DOL","2021","Bureau of Labor Statistics - Compensation and Working Conditions","Yes","","No"
"DOL","2021","Bureau of Labor Statistics - Executive Direction and Staff Services","Yes","","No"
"DOL","2021","Bureau of Labor Statistics - Labor Force Statistics","Yes","","No"
"DOI","2024","Resource Management, United States Fish and Wildlife Service, Interior - IRA","Yes","","Yes"
"DOI","2024","Southern Nevada Public Land Management, Bureau of Land Management, Interior","No","",""
"DOI","2024","Sport Fish Restoration Account, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2024","State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service, Interior","No","",""
"DOI","2024","Surveys, Investigations, and Research, U.S. Geological Survey, Interior","No","",""
"DOI","2024","Surveys, Investigations, and Research, U.S. Geological Survey, Interior - BIL","No","",""
"DOI","2024","Upper Colorado River Basin Fund, Bureau of Reclamation, Interior","No","",""
"DOI","2024","Water and Related Resources, Bureau of Reclamation, Interior","No","",""
"DOI","2024","Water and Related Resources, Bureau of Reclamation, Interior - BIL","No","",""
"DOI","2024","Water and Related Resources, Bureau of Reclamation, Interior - IRA","No","",""
"DOI","2024","Wildland Fire Management, Department-Wide Programs, Bureau of Land Management, Interior","No","",""
"DOI","2024","Wildland Fire Management, Department-Wide Programs, Interior","Yes","","Yes"
"DOI","2024","Wildland Fire Management, Department-Wide Programs, National Park Service, Interior","No","",""
"DOI","2024","Wildland Fire Management, Department-Wide Programs,  Bureau of Land Management, Interior - BIL","No","",""
"DOJ","2021","Administrative, Technology, and Other","Yes","No","Yes"
"DOL","2021","Employment & Training Administration - Workforce Information Etools","Yes","","No"
"DOL","2021","Employment & Training Administration - Youth Activities","Yes","No","Yes"
"DOL","2021","Employment & Training Administration - YouthBuild","Yes","No","Yes"
"DOL","2021","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Emergency Unemployment Compensation","Yes","Yes","Yes"
"DOL","2021","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Unemployment Assistance","Yes","Yes","Yes"
"DOL","2021","International Labor Affairs Bureau","Yes","No","Yes"
"DOL","2021","Mine Safety and Health Administration","Yes","","No"
"DOL","2021","Occupational Safety and Health Administration","Yes","","No"
"DOL","2021","Office of Disability Employment Policy","Yes","No","Yes"
"DOL","2021","Office of Federal Contract Compliance Programs","Yes","No","Yes"
"DOL","2021","Office of Labor-Management Standards","Yes","","No"
"DOL","2021","Office of Workers' Compensation - Coal Mine Workers' Compensation","Yes","","No"
"DOL","2021","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","Yes","","No"
"DOL","2021","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","Yes","","No"
"DOL","2021","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","Yes","","No"
"DOL","2021","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","Yes","No","Yes"
"DOL","2021","Veterans Employment Training Service - Jobs for Veterans State Grants","Yes","","No"
"DOL","2021","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","Yes","No","Yes"
"DOL","2021","Wage and Hour Division","Yes","","No"
"DOL","2022","Bureau of Labor Statistics - Compensation and Working Conditions","Yes","No","Yes"
"DOL","2022","Bureau of Labor Statistics - Executive Direction and Staff Services","Yes","","No"
"DOL","2022","Bureau of Labor Statistics - Labor Force Statistics","Yes","No","Yes"
"DOL","2022","Bureau of Labor Statistics - Prices and Cost of Living","Yes","","No"
"DOL","2022","Bureau of Labor Statistics - Productivity and Technology","Yes","","No"
"DOL","2022","Department of Labor - Departmental Management","Yes","","No"
"DOL","2022","Department of Labor - Office of Inspector General","Yes","No","Yes"
"DOL","2022","Employee Benefits Security Administration","Yes","","No"
"DOL","2022","Employment & Training Administration - Adult Employment and Training Activities","Yes","","No"
"DOL","2022","Employment & Training Administration - Apprenticeship","Yes","","No"
"DOL","2022","Employment & Training Administration - Community Service Employment for Older Americans","Yes","","No"
"DOL","2022","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","Yes","","No"
"DOL","2022","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves","Yes","","No"
"DOL","2022","Employment & Training Administration - Employment Service","Yes","No","Yes"
"DOL","2022","Employment & Training Administration - Federal State Unemployment Insurance","Yes","","No"
"DOL","2022","Employment & Training Administration - Foreign Labor Certification","Yes","No","Yes"
"DOL","2022","Employment & Training Administration - Indian and Native American Program","Yes","No","Yes"
"DOL","2022","Employment & Training Administration - Job Corps","Yes","No","Yes"
"DOL","2022","Employment & Training Administration - Migrant and Seasonal Farmworker","Yes","","No"
"DOL","2022","Employment & Training Administration - Reintegration of Ex-Offenders","Yes","","No"
"DOL","2022","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","Yes","No","Yes"
"DOL","2022","Employment & Training Administration - Workforce Information Etools","Yes","","No"
"DOL","2022","Employment & Training Administration - Youth Activities","Yes","","No"
"DOL","2022","Employment & Training Administration - YouthBuild","Yes","","No"
"DOL","2022","International Labor Affairs Bureau","Yes","","No"
"DOL","2022","Mine Safety and Health Administration","Yes","No","Yes"
"DOL","2022","Occupational Safety and Health Administration","Yes","","No"
"DOL","2022","Office of Disability Employment Policy","Yes","","No"
"DOL","2022","Office of Federal Contract Compliance Programs","Yes","","No"
"DOL","2022","Office of Labor-Management Standards","Yes","No","Yes"
"DOL","2022","Office of Workers' Compensation - Coal Mine Workers' Compensation","Yes","No","Yes"
"DOL","2022","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","Yes","","No"
"DOL","2022","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","Yes","No","Yes"
"DOL","2022","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","Yes","No","Yes"
"DOL","2022","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","Yes","","No"
"DOL","2022","Veterans Employment Training Service - Jobs for Veterans State Grants","Yes","","No"
"DOL","2022","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","Yes","","No"
"DOL","2022","Wage and Hour Division","Yes","","No"
"DOL","2023","Bureau of Labor Statistics - Compensation and Working Conditions","Yes","",""
"DOL","2023","Bureau of Labor Statistics - Executive Direction and Staff Services","Yes","","Yes"
"DOL","2023","Bureau of Labor Statistics - Labor Force Statistics","Yes","",""
"DOL","2023","Bureau of Labor Statistics - Prices and Cost of Living","Yes","","Yes"
"DOL","2023","Bureau of Labor Statistics - Productivity and Technology","Yes","","Yes"
"DOL","2023","Bureau of Labor Statistics- Headquarters Relocation","Yes","","Yes"
"DOL","2023","Department of Labor - Departmental Management","Yes","",""
"ED","2021","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","Yes","","No"
"ED","2021","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","Yes","","No"
"ED","2021","Special Education - State Personnel Development","Yes","","No"
"ED","2021","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","Yes","","No"
"DOL","2023","Department of Labor - Office of Inspector General","Yes","",""
"DOL","2023","Employee Benefits Security Administration","Yes","",""
"DOL","2023","Employment & Training Administration - Adult Employment and Training Activities","Yes","",""
"DOL","2023","Employment & Training Administration - Apprenticeship","Yes","",""
"DOL","2023","Employment & Training Administration - Community Service Employment for Older Americans","Yes","","Yes"
"DOL","2023","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","Yes","",""
"DOL","2023","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves","Yes","",""
"ED","2023","Competitive Grants for State Assessments (formerly Grants for Enhanced Assessment Instruments)","No","",""
"ED","2023","Comprehensive Centers","Yes","",""
"ED","2023","Comprehensive Literacy Development","Yes","",""
"ED","2023","Consolidated Grant to the Outlying Areas","Yes","",""
"ED","2023","Contracts Management","Yes","","Yes"
"ED","2023","Coordinator for the Outlying Areas","No","",""
"ED","2023","Credit Enhancement for Charter School Facilities","Yes","",""
"ED","2023","Credit Programs","Yes","",""
"ED","2023","DC Opportunity Scholarship Program","Yes","",""
"ED","2023","Demonstration Projects to Support Postsecondary Faculty, Staff, and Administrations in Educating Students with Disabilities","No","",""
"DOL","2023","Employment & Training Administration - Employment Service","Yes","",""
"DOL","2023","Employment & Training Administration - Foreign Labor Certification","Yes","",""
"DOL","2023","Employment & Training Administration - Indian and Native American Program","Yes","",""
"DOL","2023","Employment & Training Administration - Job Corps","Yes","",""
"DOL","2023","Employment & Training Administration - Migrant and Seasonal Farmworker","Yes","",""
"DOL","2023","Employment & Training Administration - Reintegration of Ex-Offenders","Yes","",""
"DOL","2023","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","Yes","",""
"ED","2023","Directed Grants and Awards","No","",""
"ED","2023","Disability Innovation Fund (DIF)","No","",""
"ED","2023","Disaster Recovery Assistance for Education","Yes","",""
"ED","2023","Early Childhood Educator Professional Development","No","",""
"ED","2023","Ed-Flex","No","",""
"ED","2023","Education for Homeless Children and Youth","Yes","",""
"ED","2023","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","Yes","",""
"ED","2023","Education Research, Development and Dissemination","Yes","",""
"ED","2023","Educational Resources Information Center","No","",""
"ED","2023","Educational Technology State Grants","No","",""
"ED","2023","Elementary School Foreign Language Incentive Program","No","",""
"DOL","2023","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Compensation","No","",""
"DOL","2023","Employment & Training Administration - Workforce Data Quality Initiative","Yes","",""
"DOL","2023","Employment & Training Administration - Workforce Information Etools","Yes","",""
"DOL","2023","Employment & Training Administration - Youth Activities","Yes","",""
"DOL","2023","Employment & Training Administration - YouthBuild","Yes","",""
"DOL","2023","International Labor Affairs Bureau","Yes","",""
"DOL","2023","Mine Safety and Health Administration","Yes","",""
"ED","2023","Emergency Assistance to Institutions of Higher Education","No","",""
"ED","2023","English Language Acquisition State Grants","Yes","","Yes"
"ED","2023","Federal Family Education Loan (FFEL)","Yes","","Yes"
"ED","2023","Federal Perkins Loan (Perkins)","Yes","","Yes"
"ED","2023","Federal Real Property Assistance Program","No","",""
"ED","2023","Federal Supplemental Educational Opportunity Grant (FSEOG)","Yes","","Yes"
"ED","2023","Federal Work-Study","Yes","","Yes"
"ED","2023","Foreign Language Assistance Program (LEAs)","No","",""
"ED","2023","Fulbright-Hays Seminars Abroad--Bilateral Projects","No","",""
"ED","2023","Fund for the Improvement of Postsecondary Education","Yes","","Yes"
"ED","2023","Gaining Early Awareness and Readiness for Undergraduate Programs","Yes","",""
"DOL","2023","Occupational Safety and Health Administration","Yes","","Yes"
"DOL","2023","Office of Disability Employment Policy","Yes","",""
"DOL","2023","Office of Federal Contract Compliance Programs","Yes","",""
"DOL","2023","Office of Labor-Management Standards","Yes","",""
"DOL","2023","Office of Workers' Compensation - Coal Mine Workers' Compensation","Yes","",""
"DOL","2023","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","Yes","","Yes"
"DOL","2023","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","Yes","",""
"MCC","2021","Threshold Programs","Yes","","No"
"MCC","2022","Administrative Expenses - Millennium Challenge Corporation","Yes","","No"
"MCC","2022","Compact Assistance","Yes","","No"
"MCC","2022","Compact Development Funding","Yes","","No"
"MCC","2022","Due Diligence","Yes","","No"
"MCC","2022","Threshold Programs","Yes","","No"
"MCC","2023","614(g) of the Millennium Challenge Act of 2003","No","",""
"MCC","2023","Administrative Expenses - Millennium Challenge Corporation","Yes","","Yes"
"MCC","2023","Audit","No","",""
"MCC","2023","Compact Assistance","Yes","","Yes"
"MCC","2023","Compact Development Funding","Yes","","Yes"
"MCC","2023","Due Diligence","Yes","","Yes"
"MCC","2023","Global Health","No","",""
"DOL","2023","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","Yes","",""
"DOL","2023","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","Yes","",""
"DOL","2023","Veterans Employment Training Service - Jobs for Veterans State Grants","Yes","","Yes"
"DOL","2023","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","Yes","",""
"DOL","2023","Wage and Hour Division","Yes","","Yes"
"DOL","2023","Women's Bureau","Yes","","Yes"
"DOL","2024","Bureau of Labor Statistics - Compensation and Working Conditions","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program (ELAP)","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Grain Storage Facility Program","Yes","","Yes"
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Livestock Relief Program (ELRP)","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Relief Program (ERP)","Yes","",""
"DOL","2024","Bureau of Labor Statistics - Executive Direction and Staff Services","Yes","",""
"DOL","2024","Bureau of Labor Statistics - Headquarters Relocation","Yes","",""
"DOL","2024","Bureau of Labor Statistics - Labor Force Statistics","Yes","",""
"DOL","2024","Bureau of Labor Statistics - Prices and Cost of Living","Yes","",""
"DOL","2024","Bureau of Labor Statistics - Productivity and Technology","Yes","",""
"DOL","2024","Department of Labor - Departmental Management","Yes","","Yes"
"DOL","2024","Department of Labor - Office of Inspector General","Yes","","Yes"
"DOL","2024","Employee Benefits Security Administration","Yes","","Yes"
"DOL","2024","Employment & Training Administration - Adult Employment and Training Activities","Yes","","Yes"
"DOL","2024","Employment & Training Administration - Apprenticeship","Yes","","Yes"
"DOL","2024","Employment & Training Administration - Community Projects","Yes","","Yes"
"DOL","2024","Employment & Training Administration - Community Service Employment for Older Americans","Yes","","Yes"
"DOL","2024","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","Yes","","Yes"
"USDA","2024","Commodity Credit Corporation (CCC) Livestock Indemnity Program (LIP)","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Loan Deficiency Payments (LDP)","No","",""
"USDA","2024","Commodity Credit Corporation (CCC) Market Facilitation Program (MFP)","No","",""
"USDA","2024","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Marketing Programs","Yes","","Yes"
"USDA","2024","Commodity Credit Corporation (CCC) Pima Agriculture Cotton Trust Fund","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Public Law 480","Yes","",""
"USDA","2024","Commodity Credit Corporation (CCC) Quality Loss Adjustment Program (QLA)","No","",""
"DOL","2024","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves","Yes","","Yes"
"DOL","2024","Employment & Training Administration - Employment Service","Yes","",""
"DOL","2024","Employment & Training Administration - Foreign Labor Certification","Yes","",""
"DOL","2024","Employment & Training Administration - Indian and Native American Program","Yes","",""
"DOL","2024","Employment & Training Administration - Job Corps","Yes","",""
"DOL","2024","Employment & Training Administration - Migrant and Seasonal Farmworker","Yes","","Yes"
"USDA","2024","Department Administration (DA) Agriculture Buildings and Facilities","Yes","",""
"USDA","2024","Department Administration (DA) Hazardous Materials Management","No","",""
"USDA","2024","Farm Service Agency (FSA) Agricultural Credit Insurance Fund-Program Account (ACIF)","Yes","","Yes"
"USDA","2024","Farm Service Agency (FSA) Emergency Forest Restoration Program (EFRP)","No","",""
"USDA","2024","Farm Service Agency (FSA) Grassroots Source Water Protection Program","No","",""
"USDA","2024","Farm Service Agency (FSA) Pandemic Assistance for Timber Harvesters and Haulers (PATHH)","No","",""
"USDA","2024","Farm Service Agency (FSA) Pandemic Livestock Indemnity Program (PLIP)","No","",""
"USDA","2024","Farm Service Agency (FSA) Reimbursement Transportation Cost Payment Program (RTCP)","No","",""
"DOL","2024","Employment & Training Administration - Reintegration of Ex-Offenders","Yes","","Yes"
