"End Date","Recorded Date","Agency","Program Name","GoalNumber","Goal","GoalStatus","GoalNote","GoalECD","Quarter Year"
"Apr 16 2021  9:25AM","Apr 16 2021  9:25AM","FCC","Universal Service Fund - Lifeline","Progress Goal #2","Prepare to conduct targeted programmatic reviews of ETCsâ€™ non-usage compliance, including reviews of policies & procedures and non-usage data. ","On-Track","Dependent on resuming subscriber outreach post-COVID waivers.","May  1 2021 12:00AM","Q2 2021"
"Oct 30 2019  7:30AM","Oct 30 2019  7:30AM","FCC","Universal Service Fund - Lifeline","Progress Goal #1","Establish a data connection with Center for Medicare and Medicaid Service (CMS) and with 2 additional states to automate eligibility checking for the National Verifier (total of 2 federal connections and 14 automated state connections).","On-Track","","Nov  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  7:50AM","Oct 30 2019  7:50AM","OPM","Federal Retirement Services","Progress Goal #1","Conduct Consolidated Death Match","On-Track","","Sep  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  8:39AM","Oct 30 2019  8:39AM","DOT","Federal Highway Administration Highway Planning and Construction","Progress Goal #1","Complete additional testing of payments to help identify risk areas and determine if risks are widespread.","Completed","","Oct  1 2019 12:00AM","Q4 2019"
"Oct 30 2019 12:26PM","Oct 30 2019 12:26PM","VA","Compensation","Progress Goal #1","Consistency studies are a training tool to assess the knowledge level of the claims process.  This consistency study will assist in mitigating untimely reductions of temporary total evaluations.","On-Track","Notice of the consistency study date, title, and time will be provided to the ROs prior to the scheduled date of this study on December 17th 2019.","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  1:45PM","Oct 30 2019  1:45PM","VA","Compensation","Progress Goal #1","Consistency studies are a training tool to assess the knowledge level of the claims process.  This consistency study will assist in mitigating untimely reductions of temporary total evaluations.","On-Track","Notice of the consistency study date, title, and time will be provided to the ROs prior to the scheduled date of this study on December 17th 2019.","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  1:51PM","Oct 30 2019  1:51PM","VA","Pension","Progress Goal #1","Upfront expansion to all Pension end products to allow display of FTI received from the Internal Revenue Service and SSA.  Use of information would provide for more accurate processing of claim decisions.","On-Track","Implement phase 2 of upfront FTI expansion to Reopened Pension & Income/Medical Expense Adjustments claims with running or previously terminated awards to increase the number of claims that require review of recent income information.","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  1:56PM","Oct 30 2019  1:56PM","VA","Purchased Long Term Services and Supports","Progress Goal #1","Distribute announcement to hire 2 FTE for IPERA to support claims being paid at correct rates.","On-Track","First position in interview of finalists stage (to be completed 11/01/19).  Second position to be re-announced (to be completed 10/25/19).","Oct  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  4:10PM","Oct 30 2019  4:10PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #1","Identifying ways to help grantees reduce errors.","On-Track","It is the Office of Child Care's (OCC) goal to assist grantees to improve the overall administration of their CCDF programs, to help them reduce errors, and to help them reduce improper payments.","Dec  1 2020 12:00AM","Q4 2019"
"Oct 30 2019  5:18PM","Oct 30 2019  5:18PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #1","Develop and implement a Payment Error Rate Measurement (PERM) corrective action plan process to monitor and assist state's in implementing effective corrective action plans for findings identified through PERM reviews.","Completed","","Jul  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  5:21PM","Oct 30 2019  5:21PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #1","In 2019, HHS will continue to educate IRF providers through the Targeted Probe & Educate (TPE) process in order to reduce the error rate.","On-Track","HHS plans to use the Medicare Learning Network (MLN) among other options to achieve this goal.","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  5:21PM","Oct 30 2019  5:21PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #2","In 2019, HHS will continue to approve IRF issues for Recovery Audit Contractor (RAC) review, as appropriate.","On-Track","","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  5:24PM","Oct 30 2019  5:25PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #2","The comment period for the RADV provision included in the 2020 Part C and D rule, which included data released by HHS underlying the Fee-for-Service Adjuster Study, closed in August 2019. HHS will draft and release responses for the final rule.","On-Track","","Aug  1 2020 12:00AM","Q4 2019"
"Oct 30 2019  5:27PM","Oct 30 2019  5:27PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #2","Continue formal outreach to plan sponsors for invalid/incomplete documentation in FY19, distribute final findings reports to all plans participating in the national payment error estimate, and provide feedback on submission and validation results.","On-Track","","Dec  1 2019 12:00AM","Q4 2019"
"Nov 14 2019  9:50AM","Nov 14 2019  9:50AM","DOD","Military Pay","Progress Goal #2","Require component's to complete corrective action plans for Military Pay improper payments, monitor milestone dates, and review artifacts or evidence supporting the closure of milestones.","On-Track","","Mar  1 2020 12:00AM","Q4 2019"
"Oct 30 2019  5:24PM","Oct 30 2019  5:25PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #1","HHS completed the medical record submission phase for the payment year 2014 audit. In September 2019, HHS announced the launch of the payment year 2015 audit. HHS will hold a training webinar for MAOs selected for audits in December 2019.","On-Track","","Dec  1 2020 12:00AM","Q4 2019"
"Oct 30 2019  5:27PM","Oct 30 2019  5:27PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #1","In January 2019, HHS completed national training sessions for Part D sponsors on payment and data submission. This training provided Part D sponsors with detailed instructions as part of the improper payment estimation process for FY19 reporting.","Completed","","Apr  1 2019 12:00AM","Q4 2019"
"Nov 14 2019  9:28AM","Nov 14 2019  9:28AM","DOD","DoD Travel Pay","Progress Goal #1","Achieve a monthly/quarterly Defense Travel System improper payments rate below 5.40 percent.","On-Track","Defense Travel System improper payment metrics are reported by DFAS to senior accountable officials and DoD Components on a monthly/quarterly basis.","Dec  1 2019 12:00AM","Q4 2019"
"Nov 14 2019  9:50AM","Nov 14 2019  9:50AM","DOD","Military Pay","Progress Goal #1","Report quarterly performance metrics for Military Pay improper payments. The metrics will report the top improper payment errors by Military Service.","On-Track","","Dec  1 2019 12:00AM","Q4 2019"
"Oct 17 2019  8:30AM","Oct 17 2019  8:30AM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Progress Goal #2","Analysis of preliminary results from the school year 2017-2018 school meal program improper payment study (Access, Participation, Eligibility, and Certification Study III).","On-Track","","Jun  1 2020 12:00AM","Q4 2019"
"Oct 21 2019 12:30PM","Oct 21 2019 12:30PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #2","Analysis of preliminary results from the school year 2017-2018 school meal program improper payment study (Access, Participation, Eligibility, and Certification Study III).","On-Track","","Jun  1 2020 12:00AM","Q4 2019"
"Oct 21 2019 12:35PM","Oct 21 2019 12:35PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Progress Goal #2","Work closely with regional offices to quickly and adequately answer policy questions to best advise states on regulatory requirements and best practices regarding payment error measurement and mitigation.","Completed","","Sep  1 2019 12:00AM","Q4 2019"
"Oct 21 2019 12:40PM","Oct 21 2019 12:40PM","USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","Progress Goal #2","","","","","Q4 2019"
"Oct 21 2019 12:53PM","Oct 21 2019 12:53PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Progress Goal #2","","On-Track","","Dec  1 2019 12:00AM","Q4 2019"
"Oct 22 2019 11:29AM","Oct 22 2019 11:29AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Progress Goal #2","The WorkSmart pilot programs will allow us to timely identify beneficiaries working above SGA* We will use monthly, annual, and quarterly, earnings to identify cases that require a work CDR** to determine if they should continue receiving benefits.","On-Track","In FY 2019, we expect to see an increase in the number of cases that require processing of a work CDR. 
*SGA - substantial gainful activity
**CDR - continuing disability review
","Sep  1 2019 12:00AM","Q4 2019"
"Apr 28 2022  3:00PM","Apr 28 2022  3:00PM","VA","VA Community Care","Progress Goal #1","Confirm the third-party administrators are performing pre/post audits to ensure payment accuracy.","On-Track","Third Party Administrators are performing pre and post payment audits to determine if the correct amount was paid per the fee schedule or billed charges.","Apr  1 2022 12:00AM","Q2 2022"
"Oct 30 2019  5:37AM","Oct 30 2019  5:37AM","ED","Federal Pell Grant Program","Progress Goal #2","Implementation of an improved model for selecting FAFSA applicants for income verification. FSA is implementing an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","On-Track","","Jun  1 2020 12:00AM","Q4 2019"
"Oct 30 2019  7:30AM","Oct 30 2019  7:30AM","FCC","Universal Service Fund - Lifeline","Progress Goal #2","Soft-Launch 18 additional states into the National Verifier (total of 56 states & territories soft or hard launched into National Verifier).","On-Track","10 states successfully soft launched in October, with 8 more expected in December.","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  7:50AM","Oct 30 2019  7:50AM","OPM","Federal Retirement Services","Progress Goal #2","Conduct Death Master File Match","On-Track","","Sep  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  8:39AM","Oct 30 2019  8:39AM","DOT","Federal Highway Administration Highway Planning and Construction","Progress Goal #2","","","","","Q4 2019"
"Oct 30 2019 12:26PM","Oct 30 2019 12:26PM","VA","Compensation","Progress Goal #2","Mandatory training for field employees in all 56 Regional Offices on subject matter related to processing errors and temporary total evaluation.  ","Completed","99% of Regional Office employees completed the mandated training.  ","Sep  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  1:45PM","Oct 30 2019  1:45PM","VA","Compensation","Progress Goal #2","Mandatory training for field employees in all 56 Regional Offices on subject matter related to processing errors and temporary total evaluation.","Completed","99% of Regional Office employees completed the mandated training.  ","Sep  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  1:51PM","Oct 30 2019  1:51PM","VA","Pension","Progress Goal #2","Provide manual updates and field guidance on new process of upfront verification expansion.","On-Track","New procedures are being drafted, but awaits development of application change request for Share system.","Nov  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  1:56PM","Oct 30 2019  1:56PM","VA","Purchased Long Term Services and Supports","Progress Goal #2","Hire 2 additional FTE for IPERA to support claims being paid at correct rates.","On-Track","Announcements to be released before end of FY19.  All hiring expected by 12/13/2019.","Dec  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  4:10PM","Oct 30 2019  4:10PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #2","Reduce monetary loss.","On-Track","","Dec  1 2020 12:00AM","Q4 2019"
"Oct 30 2019  5:11PM","Oct 30 2019  5:11PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Progress Goal #2","HHS will work to complete status assessments of FY 2016 Payment Error Rate Measurement (PERM) corrective action plans and provide corresponding corrective action feedback to states.","Completed","","Jun  1 2019 12:00AM","Q4 2019"
"Oct 30 2019  5:18PM","Oct 30 2019  5:18PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #2","Pilot a process to screen Medicaid-only providers on behalf of states in FY19. For the pilot, screen two states' Medicaid-only providers and produce a report of the providers found with licensure issues, criminal activity, and Do Not Pay activity.","On-Track","","Dec  1 2019 12:00AM","Q4 2019"
"Jan 31 2020  6:27AM","Jan 31 2020  6:27AM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Progress Goal #1","Continue to work with state agencies that received USDA Administrative Review and Training (ART) grants to acquire/build or explore building statewide online household applications for school meal benefits. ","On-Track","Encourage those states to adopt integrity features comparable to those in USDA's prototype online application.","Apr  1 2020 12:00AM","Q1 2020"
"Jan 31 2020  6:49AM","Jan 31 2020  6:49AM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Progress Goal #1","Issue revised Crop Insurance Handbook and discuss with AIPs to ensure understanding of the revision.","Completed","","Jul  1 2019 12:00AM","Q1 2020"
"Aug 16 2021  4:34PM","Aug 16 2021  4:34PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Progress Goal #2","Conduct pre-refund audits.","On-Track","In general, approximately 90% of refundable credit audits were conducted pre-refund.","Sep  1 2021 12:00AM","Q3 2021"
"Aug 17 2021  3:04PM","Aug 17 2021  3:05PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Progress Goal #2","Reject electronic returns with missing or inconsistent information via math error.","On-Track","In general, approximately 94% of individual returns were filed electronically.","Sep  1 2021 12:00AM","Q3 2021"
"Aug 17 2021  5:29PM","Aug 17 2021  5:29PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Progress Goal #2","Conduct pre-refund audits.","On-Track","In general, approximately 90% of refundable credit audits were conducted pre-refund.","Sep  1 2021 12:00AM","Q3 2021"
"Aug 18 2021  9:21AM","Aug 18 2021  9:21AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Progress Goal #2","Conduct pre-refund audits.","On-Track","In general, approximately 90% of refundable credit audits were conducted pre-refund.","Sep  1 2021 12:00AM","Q3 2021"
"Aug 18 2021  9:42AM","Aug 18 2021  9:42AM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Progress Goal #2","WHIP sign-up deadline has past. Most applications have been acted on and payments have been issued for eligible participants. The only remaining payments would be for appeals or similar arbitration cases between an applicant and RMA.","On-Track","","Sep  1 2022 12:00AM","Q3 2021"
"Jul 26 2021  4:54PM","Jul 26 2021  4:54PM","VA","Pension","Progress Goal #1","Complete analysis of the Computer Matching Agreement (CMA) test run data for re-establishing the SSA Income Match and determine a path forward for implementation. ","On-Track","The CMA has been established and a test run was completed on May 12.  The CMA test will enable Pension to evaluate the data received and determine when the match can be made operational for field use.  ","Sep  1 2021 12:00AM","Q3 2021"
"Apr 16 2021  1:47PM","Apr 16 2021  1:47PM","DOD","Military Pay - Department of Air Force","Progress Goal #2","Complete 100% of the root cause analysis and develop plans for implementing improvements and lessons learned for the post payment review process and conducting training for all stakeholders.","On-Track","","Jun  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  1:51PM","Apr 16 2021  1:51PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #2","Reduce monetary loss.","On-Track","Since CCDF is administered at the grantee level, OCCâ€™s goal is to provide assistance to grantees in developing strategies to improve program and payment integrity, thus reducing monetary loss","Dec  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  2:06PM","Apr 16 2021  2:06PM","DOD","Military Pay - Army","Progress Goal #2","Develop propose plans for implementing improvements and lessons learned for the post payment reviews to include updating the key supporting documentation matrix and conducting training for all stakeholders.","On-Track","","Jun  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:01PM","Apr 16 2021  3:01PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #2","Prior Authorization for Certain DMEPOS Items","On-Track","HHS requires prior authorization for five Pressure Reducing Support Surface codes, six Lower Limb Prosthetic codes, and Power Mobility Devices. HHS continues to explore additional items that could be added to the Master List.","Dec  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:38PM","Apr 16 2021  3:38PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #2","Training","On-Track","HHS will continue national training sessions on payment and data submission with detailed instructions as part of the improper payment estimation process for Part D sponsors.","Sep  1 2021 12:00AM","Q2 2021"
"Apr 22 2021  1:39PM","Apr 22 2021  1:39PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Progress Goal #2","All 2017 WHIP signup has ended, and closeout activity has been completed.  Possible appeals may remain.","Completed","","Oct  1 2020 12:00AM","Q2 2021"
"Apr 23 2021 12:51PM","Apr 23 2021 12:51PM","SBA","504 Certified Development Loans Approvals","Progress Goal #2","","","","","Q2 2021"
"Apr 23 2021  1:06PM","Apr 23 2021  1:06PM","SBA","7(a) Loan Guarantees Approvals","Progress Goal #2","","","","","Q2 2021"
"Jul 26 2021  5:09PM","Jul 26 2021  5:09PM","VA","VA Community Care","Progress Goal #1","Program will review 2021 testing results to evaluate causes of error related to monetary loss and develop effective corrective actions.","On-Track","Program is expecting to receive final results in July.","Jul  1 2021 12:00AM","Q3 2021"
"Jan 28 2022  3:25PM","Jan 28 2022  3:25PM","DOD","Military Health Benefits - Healthcare","Progress Goal #2","Continue to pull samples and audit existing samples for the FY21 outlays of administrative costs to report in the next AFR.","On-Track","","Oct  1 2022 12:00AM","Q1 2022"
"Dec 10 2021  1:47PM","Dec 10 2021  1:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #2","HHS monitors Corrective Action Plan submissions and follow up with all states on their progress in implementing effective corrective actions. HHS will use lessons learned to inform areas to evaluate for future guidance and education.","Completed","HHS continues Payment Error Rate Measurement Corrective Action Plan (PERM CAP) oversight through individual state meetings and state cohort meetings.","Sep  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  1:56PM","Dec 10 2021  1:56PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #2","Supplemental Medical Review Contractor (SMRC) Post-Payment Medical Review Activity","On-Track","HHS uses the SMRC to conduct reviews of claims paid during the Public Health Emergency and special review based on OIG reports and data analysis. The review of the 20% add on payment for COVID-19 diagnoses will be complete in FY 2021.","Dec  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  2:04PM","Dec 10 2021  2:04PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #2","","","","","Q4 2021"
"Dec 10 2021  2:22PM","Dec 10 2021  2:22PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #2","Training","Completed","HHS will continue national training sessions on payment and data submission with detailed instructions as part of the improper payment estimation process for Part D sponsors.","Sep  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  3:20PM","Dec 10 2021  3:20PM","DOD","Military Retirement","Progress Goal #2","Ongoing evaluation and training efforts for Annuity technicians affected by process change. R&A will conduct in depth case review in conjunction with ESS post reviews to ensure understanding by all parties involved in case processing and review.","Completed","","Jun  1 2021 12:00AM","Q4 2021"
"Nov 30 2021 11:50AM","Nov 30 2021 11:50AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Progress Goal #1","Continue to promote timely wage reporting to improve timely receipt of wage and employment information.","On-Track","Number of myWR received can be impacted by employment rates and thus fluctuate beyond agencyâ€™s control. We strive to process all wage reports and continue to pursue automation to capture timely wages that will reduce our reliance on self-reporting.","Sep  1 2022 12:00AM","Q4 2021"
"Nov 30 2021 12:13PM","Nov 30 2021 12:13PM","SSA","Supplemental Security Income (SSI)","Progress Goal #1","Continue to promote timely wage reporting to improve timely receipt of wage and employment information.","On-Track","Number of wage reports (WR) received can be impacted by employment rates and thus fluctuate beyond agencyâ€™s control. We strive to process all WR and continue to pursue automation to capture timely wages that will reduce reliance on self-reporting.","Sep  1 2022 12:00AM","Q4 2021"
"Dec  3 2021 12:32PM","Dec  3 2021 12:32PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Progress Goal #1","All 2017 WHIP signup has ended, and closeout activity has been completed. Possible appeals may remain.
 ","Completed","","Sep  1 2022 12:00AM","Q4 2021"
"Dec  3 2021  2:07PM","Dec  3 2021  2:07PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Progress Goal #1","UI Integrity Center published Behavioral Insights toolkit to provide states information about BI, including how to implement BI interventions with customizable templates, example resources, and best practices to reduce improper payments.","Completed","All BI Toolkit resources were published in the NASWA Knowledge Exchange Library in Sep 21. Official toolkit launch to occur in Oct 21, followed by a webinar in early Nov 21. ETA to issue an announcement to highlight BI Toolkit and webinar.","Sep  1 2021 12:00AM","Q4 2021"
"Dec  8 2021  7:17AM","Dec  8 2021  7:17AM","FCC","Universal Service Fund - Lifeline","Progress Goal #1","Analyze ETCsâ€™ non-usage de-enrollments and claims after the non-usage waiver was lifted in May of 2021.","On-Track","","Jan  1 2022 12:00AM","Q4 2021"
"Nov 13 2020 12:58PM","Nov 13 2020 12:58PM","DOD","Military Pay","Progress Goal #2","Develop procedures to utilize a centralized collaboration software tool to request KSDs. In addition, host an entrance conference to discuss program objectives, timelines and KSD requirements for the post payment review process.","On-Track","","Dec  1 2020 12:00AM","Q4 2020"
"Dec  8 2021  7:17AM","Dec  8 2021  7:17AM","VA","VA Community Care","Progress Goal #1","Program Office has identified monetary loss errors that no longer exist in current and future state due to contracts that have been fully executed and system enhancements that have been fully implemented.   ","Completed","The creation of corrective actions is in progress for 2021. The Program Office is only reviewing errors that require new corrective actions to reduce future improper payments. New contracts have been put into place to improve payment accuracy.","Sep  1 2021 12:00AM","Q4 2021"
"Dec  8 2021  2:06PM","Dec  8 2021  2:06PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Progress Goal #1","Conduct post-refund activities to recapture overclaims.","Completed","Based on preliminary data, AOTC document matching accounts for 35% of all AOTC base enforcement activities (i.e., Audit Closures, Math Error Notices, and Document Matching) and protected approximately $37 million in revenue.","Sep  1 2021 12:00AM","Q4 2021"
"Dec  8 2021  2:17PM","Dec  8 2021  2:17PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Progress Goal #1","Reject electronic returns with missing or inconsistent information via math error.","Completed","Approximately 94% of EITC returns are filed electronically.","Sep  1 2021 12:00AM","Q4 2021"
"Dec  8 2021  2:24PM","Dec  8 2021  2:24PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Progress Goal #1","Reject electronic returns with missing or inconsistent information via math error.","Completed","Approximately 96% of all returns claiming of ACTC were filed electronically.","Sep  1 2021 12:00AM","Q4 2021"
"Dec  8 2021  7:52PM","Dec  8 2021  7:52PM","SBA","504 Certified Development Loans Approvals","Progress Goal #1","Improper payments identified in FY2020 reviews have been resolved through obtaining appropriate documentation or modification of the loan. Corrective actions were generally completed within 180 days with all actions taken by end of the fiscal year.
","On-Track","None","Sep  1 2021 12:00AM","Q4 2021"
"Dec 10 2021 12:48PM","Dec 10 2021 12:48PM","ED","William D. Ford Federal Direct Loan Program ","Progress Goal #1","FSA continues to utilize and promote the IRS Data Retrieval Tool, which enables Title IV student aid applicants and, as needed, parents of applicants, to transfer certain tax return data from an IRS website directly to their FAFSA.","Completed","This goal is a continuous activity. FSA analyzed the usage of the IRS DRT and its expected impacts to improper payments and unknown payments.","Nov  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  1:25PM","Dec 10 2021  1:25PM","ED","Federal Pell Grant Program","Progress Goal #1","FSA continues to utilize and promote the IRS Data Retrieval Tool, which enables Title IV student aid applicants and, as needed, parents of applicants, to transfer certain tax return data from an IRS website directly to their FAFSA.","Completed","This goal is a continuous activity. FSA analyzed the usage of the IRS DRT and its expected impacts to improper payments and unknown payments.","Nov  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  1:29PM","Dec 10 2021  1:29PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Progress Goal #1","Identifying ways to help grantees reduce errors.","Completed","Since CCDF payments occur at the grantee level, the Office of Child Careâ€™s (OCC) goal is to assist grantees in the administration of their CCDF programs including providing assistance in developing strategies to reduce improper payments.","Dec  1 2020 12:00AM","Q4 2021"
"Dec 10 2021  1:39PM","Dec 10 2021  1:39PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Progress Goal #1","Offer Medicaid-only provider screening to states. Centralizing this process will improve efficiency and coordination across Medicare and Medicaid, reduce state and provider burden, and address one of the biggest sources of error measured.","On-Track","HHS piloted a process to screen Medicaid-only providers on behalf of states in FY 2019. In FY 2021, HHS continued to evaluate the impact on participating states and expanded the services to West Virginia.","Dec  1 2022 12:00AM","Q4 2021"
"Dec 10 2021  1:47PM","Dec 10 2021  1:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Progress Goal #1","Offer Medicaid-only provider screening to states. Centralizing this process will improve efficiency and coordination across Medicare and Medicaid, reduce state and provider burden, and address one of the biggest sources of error measured.","On-Track","HHS piloted a process to screen Medicaid-only providers on behalf of states in FY 2019. In FY 2021, HHS continued to evaluate the impact on participating states and expanded the services to West Virginia.","Dec  1 2022 12:00AM","Q4 2021"
"Dec 10 2021  1:56PM","Dec 10 2021  1:56PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Progress Goal #1","Review Choice Demonstration for Home Health Services","Completed","The Public Health Emergency delayed the expansion of the Review Choice Demonstration for Home Health Services into the states of North Carolina and Florida, until September 2021, when it became a requirement in those states.","Sep  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  2:04PM","Dec 10 2021  2:04PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Progress Goal #1","Contract-level RADV Audit for Payment Year 2015: Review 25 percent of medical records submitted by audited Medicare Advantage plans by October 31, 2021.","Completed","As of December 7, 2021, 39 percent of the medical records submitted by audited Medicare Advantage plans have been reviewed.","Oct  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  2:22PM","Dec 10 2021  2:22PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Progress Goal #1","Outreach to Plan Sponsors","Completed","HHS will continue formal outreach to plan sponsors for invalid/incomplete documentation.","Sep  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  2:38PM","Dec 10 2021  2:38PM","DOD","Military Health Benefits - Healthcare","Progress Goal #1","Require TRICARE private sector contractors to perform assessments of their claims processing systems to determine programming errors and make necessary system modifications. ","On-Track","Perform quarterly reviews of all Contractors by monitoring and assessing healthcare claims processing performance.","Sep  1 2021 12:00AM","Q4 2021"
"Dec 10 2021  3:20PM","Dec 10 2021  3:20PM","DOD","Military Retirement","Progress Goal #1","Preparation for next phase occurring January 2022 via communication with interested parties about changes, dates and affects to annuity accounts.","On-Track","","Dec  1 2021 12:00AM","Q4 2021"
"Nov 30 2021 11:50AM","Nov 30 2021 11:50AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Progress Goal #2","Continue planning and analysis for robust management information and automate posting of wages received from payroll information exchange onto records.","On-Track","","Sep  1 2022 12:00AM","Q4 2021"
"Nov 30 2021 12:13PM","Nov 30 2021 12:13PM","SSA","Supplemental Security Income (SSI)","Progress Goal #2","Continue planning and analysis for robust management information and automate posting of wages received from payroll information exchange onto records.","On-Track","","Sep  1 2022 12:00AM","Q4 2021"
"Dec  3 2021 12:32PM","Dec  3 2021 12:32PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Progress Goal #2","WHIP sign-up deadline has past. Most applications have been acted on and payments have been issued for eligible participants. The only remaining payments would be for appeals or similar arbitration cases between an applicant and RMA.","Completed","","Sep  1 2022 12:00AM","Q4 2021"
"Dec  3 2021  2:07PM","Dec  3 2021  2:07PM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Progress Goal #2","ETA will deploy multidisciplinary technical assistance teams to states to conduct intensive research to quickly surface problems/propose solutions to address fraud, promote equitable access, reduce backlogs, and ensure timely payment of UI benefits.","On-Track","Previous iteration of this goal was completed with FY 2021, Q3 reporting.  Updated goal is provided above for FY2021, Q4 reporting and ongoing updates.","Dec  1 2022 12:00AM","Q4 2021"
