"Agency","Program_or_Activity","Confirmed_Fraud","Fiscal_Year"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization) DOT, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization), Bureau of Indian Affairs, Interior","0.0000000000","2021"
"DOI","Federal Aid-Highways (Liquidation of Contract Authorization), National Park Service, Interior","0.0000000000","2021"
"DOI","Federal Trust Programs, Bureau of Trust Funds Administration, Interior","0.0000000000","2021"
"DOI","Fish and Wildlife Service","0.0070000000","2020"
"DOI","Fish and Wildlife Service","0.5732000000","2018"
"DOI","Funds Reserved, Oregon and California Grant Lands, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Helium Fund, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Historic Preservation Fund, National Park Service, Interior","0.0000000000","2021"
"DOI","Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior","0.0000000000","2021"
"DOI","Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior","0.0000000000","2021"
"DOI","Interior Franchise Fund, Departmental Management, Interior","0.0000000000","2021"
"DOI","Land Acquisition and State Assistance, National Park Service, Interior","0.0000000000","2021"
"DOI","Land Acquisition, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Land and Resources Management Trust Fund, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Lower Colorado River Basin Development Fund, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Management of Lands and Resources, Bureau of Land Management, Interior - IRA 221L1109H3, 221L1109H4, 223L1109AF, 226L1109H5, 234L1109AF, 23XL1109A1, 23XL1109HF","0.0000000000","2021"
"DOI","Migratory Bird Conservation Account, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Multinational Species Conservation Fund, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","National Indian Gaming Commission, Gaming Activity Fees, Interior","0.0000000000","2021"
"DOI","National Park Service","0.3127000000","2018"
"DOI","National Park Service","0.3130000000","2017"
"DOI","National Park Services","0.1400000000","2019"
"DOI","National Park Services","0.1700000000","2020"
"DOI","National Recreation and Preservation, National Park Service, Interior","0.0000000000","2021"
"DOI","National Wildlife Refuge Fund, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, Interior","0.0000000000","2021"
"DOI","Natural Resource Damage Assessment and Restoration Fund, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","North American Wetlands Conservation Fund, United States Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Ocean Energy Management, Bureau of Ocean Energy Management, Interior - IRA 226M19175D","0.0000000000","2021"
"DOI","Office of Natural Resources Revenue","4.5000000000","2019"
"DOI","Office of Natural Resources Revenue","24.6000000000","2020"
"DOI","Office of Natural Resources Revenue, Department-Wide Programs, Interior","0.0000000000","2021"
"DOI","Office of Surface Mining","0.1300000000","2019"
"DOI","Office of the Special Trustee","1.4000000000","2020"
"DOI","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior - 234E1700D2","0.0000000000","2021"
"DOI","Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior","0.0000000000","2021"
"DOI","Operation and Maintenance of Quarters, National Park Service, Interior","0.0000000000","2021"
"DOI","Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T), Interior - BIL 5240-A000","0.0000000000","2021"
"DOI","Operation of Indian Education Programs, Bureau of Indian Education, Interior","0.0000000000","2021"
"DOI","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL 221A2100S1, 221A2100S3","0.0000000000","2021"
"DOJ","State, Local, Tribal, and Other Assistance","0.1036420000","2018"
"DOJ","State, Local, Tribal, and Other Assistance","1.1000000000","2021"
"DOL","","1033.5300000000","2024"
"DOI","Operation of the National Park System, National Park Service, Interior - IRA 20P10361B, 221P10361C, 221P10361D, 226P10361E","0.0000000000","2021"
"DOI","Oregon and California Grant Lands, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Outer Continental Shelf Revenues, Land and Water Conservation Fund (LWCF) Share from Certain Leases, National Park Service, Interior","0.0000000000","2021"
"DOI","Park Concession Franchise Fees, National Park Service, Interior","0.0000000000","2021"
"DOI","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services, Bureau of Indian Affairs, Interior","0.0000000000","2021"
"DOI","Payment to the United States Territories, Fiscal Assistance, Insular Affairs, Interior","0.0000000000","2021"
"DOI","Payments in Lieu of Taxes, Departmental Management, Interior","0.0000000000","2021"
"DOI","Payments to States in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement, Interior","0.0000000000","2021"
"DOI","Permit Processing Fund, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Policy and Administration, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000","0.0000000000","2021"
"DOI","Reclamation Trust Funds, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Reclamation Water Settlements Fund, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Recreation Enhancement Fee Program, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Recreation Enhancement Fee Program, National Park Service, Interior","0.0000000000","2021"
"DOI","Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 223S180110, 234S180110","0.0000000000","2021"
"DOI","Resource Management, United States Fish and Wildlife Service, Interior - BIL 23XF1611WF, 23XF1611BC, 23XF1611BL","0.0000000000","2021"
"DOI","Salaries and Expenses, Office of the Inspector General, Interior","0.0000000000","2021"
"DOI","Salaries and Expenses, Office of the Solicitor, Interior","0.0000000000","2021"
"DOI","Selis-Qlispe Ksanka Settlement Trust Fund","0.0000000000","2021"
"DOI","Service Charges, Deposits and Forfeitures, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Southern Nevada Public Land Management, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Sport Fish Restoration Account, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Supplemental Payments to United Mine Workers of America (UMWA) Health Plans, Office of Surface Mining Reclamation and Enforcement, Interior","0.0000000000","2021"
"DOI","Surveys, Investigations, and Research, Geological Survey, Interior - BIL 224G0804ID, 22XG0804ID, 235G0804ID","0.0000000000","2021"
"DOI","Temporary Assistance for Needy Families, Interior","0.0000000000","2021"
"DOI","Training and Employment Services, Employment and Training Administration, Interior","0.0000000000","2021"
"DOI","Transportation Systems Fund, National Park Service, Interior","0.0000000000","2021"
"DOI","Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior","0.0000000000","2021"
"DOI","Upper Colorado River Basin Fund, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","US Geological Survey","0.0500000000","2019"
"DOI","Utah Reclamation Mitigation and Conservation Account, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Water and Related Resources, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Wildfire Management, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Wildfire Management, National Park Service, Interior","0.0000000000","2021"
"DOI","Wildland Fire Management, Department-Wide Programs, Interior","0.0000000000","2021"
"DOI","Wildland Fire Management, U.S. Fish and Wildlife Service, Interior","0.0000000000","2021"
"DOI","Wildland Fire, Bureau of Indian Affairs, Interior","0.0000000000","2021"
"DOI","Working Capital Fund, Bureau of Land Management, Interior","0.0000000000","2021"
"DOI","Working Capital Fund, Bureau of Reclamation, Interior","0.0000000000","2021"
"DOI","Working Capital Fund, Departmental Management, Interior","0.0000000000","2021"
"DOI","Working Capital Fund, U.S. Geological Survey, Interior","0.0000000000","2021"
"DOJ","","0.4200000000","2023"
"DOJ","","1.7600000000","2022"
"DOJ","","11.8600000000","2024"
"DOJ","Administrative, Technology, and Other","0.0000000000","2018"
"DOJ","Administrative, Technology, and Other","0.0000000000","2019"
"DOJ","Administrative, Technology, and Other","0.0000000000","2020"
"DOJ","Administrative, Technology, and Other","0.0000000000","2021"
"DOJ","Law Enforcement","0.0000000000","2020"
"DOJ","Law Enforcement","0.0000000000","2021"
"DOJ","Law Enforcement","0.0209950000","2017"
"DOJ","Law Enforcement","0.3000000000","2019"
"DOJ","Law Enforcement","0.7764950000","2018"
"DOJ","Litigation","0.0000000000","2018"
"DOJ","Litigation","0.0000000000","2019"
"DOJ","Litigation","0.0100000000","2020"
"DOJ","Litigation","0.0100000000","2021"
"DOJ","Prisons and Detention","0.0100000000","2019"
"DOJ","Prisons and Detention","0.1400000000","2020"
"DOJ","Prisons and Detention","0.2194955000","2018"
"DOJ","Prisons and Detention","1.0700000000","2021"
"DOJ","State, Local, Tribal and Other Assistance","0.9725679300","2017"
"DOJ","State, Local, Tribal, and Other Assistance","0.0000000000","2020"
"DOJ","State, Local, Tribal, and Other Assistance","0.1000000000","2019"
"DOL","","1109.2700000000","2023"
"DOL","","1616.9200000000","2022"
"DOL","Bureau of Labor Statistics - Compensation and Working Conditions","0.0000000000","2021"
"DOL","Bureau of Labor Statistics - Executive Direction and Staff Services","0.0000000000","2021"
"DOL","Bureau of Labor Statistics - Labor Force Statistics","0.0000000000","2021"
"DOL","Bureau of Labor Statistics - Prices and Cost of Living","0.0000000000","2021"
"DOL","Bureau of Labor Statistics - Productivity and Technology","0.0000000000","2021"
"DOL","Department of Labor - Departmental Management","0.1500000000","2021"
"DOL","Employee Benefits Security Administration","0.1950000000","2021"
"DOL","Employment & Training Administration - Adult Employment and Training Activities","0.0000000000","2021"
"DOL","Employment & Training Administration - Apprenticeship","0.0000000000","2021"
"DOL","Employment & Training Administration - Community Service Employment for Older Americans","0.0000000000","2021"
"DOL","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","0.0000000000","2021"
"DOL","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves","0.0000000000","2021"
"DOL","Employment & Training Administration - Employment Service","0.0000000000","2021"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","0.0000000000","2021"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","3.3900000000","2017"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","3.7400000000","2018"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","10.3200000000","2019"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","301.6600000000","2020"
"DOL","Employment & Training Administration - Federal State Unemployment Insurance","1046.9800000000","2021"
"DOL","Employment & Training Administration - Foreign Labor Certification","0.0000000000","2021"
"DOL","Employment & Training Administration - Indian and Native American Program","0.0000000000","2021"
"DOL","Employment & Training Administration - Job Corps","0.0000000000","2021"
"DOL","Employment & Training Administration - Migrant and Seasonal Farmworker","0.0000000000","2021"
"DOL","Employment & Training Administration - Reintegration of Ex-Offenders","0.0000000000","2021"
"DOL","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0.0000000000","2021"
"DOL","Employment & Training Administration - Workforce Data Quality Initiative","0.0000000000","2021"
"DOL","Employment & Training Administration - Workforce Information Etools","0.0000000000","2021"
"DOL","Employment & Training Administration - Youth Activities","0.0000000000","2021"
"DOL","Employment & Training Administration - YouthBuild","0.0000000000","2021"
"DOL","Employment and Training Administration – Unemployment Insurance – Federal Pandemic Unemployment Assistance","0.0000000000","2021"
"DOL","International Labor Affairs Bureau","0.0000000000","2021"
"DOL","Mine Safety and Health Administration","0.0000000000","2021"
"DOL","Occupational Safety and Health Administration","0.0570000000","2021"
"DOL","Office of Disability Employment Policy","0.0000000000","2021"
"DOL","Office of Federal Contract Compliance Programs","0.0000000000","2021"
"DOL","Office of Labor-Management Standards","0.0000000000","2021"
"DOL","Office of Workers' Compensation - Coal Mine Workers' Compensation","0.0000000000","2021"
"DOL","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","0.0000000000","2021"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","1.6200000000","2017"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","40.4100000000","2020"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","41.3200000000","2021"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","54.7100000000","2019"
"DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","54.8300000000","2018"
"DOL","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0.0000000000","2021"
"DOL","Other Programs","74.7300000000","2018"
"DOL","Other programs","108.2240740000","2017"
"DOL","Other programs *","29.0100000000","2019"
"DOL","Other programs *","41.6000000000","2020"
"DOL","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0.0000000000","2021"
"DOL","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","0.0000000000","2021"
"DOL","Veterans Employment Training Service - Jobs for Veterans State Grants","0.0000000000","2021"
"DOL","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","0.0000000000","2021"
"DOL","Wage and Hour Division","0.0000000000","2021"
"DOL","Women's Bureau","0.0000000000","2021"
"DOT","","0.0620000000","2022"
"DOT","","0.1236410000","2024"
"DOT","","0.5790140000","2023"
"DOT","Federal Aviation Administration - Grants - Civil Settlements","0.0165000000","2017"
"DOT","Federal Aviation Administration - Procurement - Civil Settlements","0.3000000000","2017"
"DOT","Federal Aviation Administration Facilities and Equipment","0.0000000000","2021"
"DOT","Federal Aviation Administration Franchise Fund","0.0000000000","2021"
"DOT","Federal Aviation Administration Grants-in-Aid for Airports","0.0000000000","2021"
"DOT","Federal Aviation Administration Grants-in-Aid for Airports","0.0000000000","2021"
"DOT","Federal Aviation Administration Operations","0.0000000000","2021"
"DOT","Federal Aviation Administration Operations","0.0000000000","2021"
"DOT","Federal Aviation Administration Research, Engineering and Development","0.0000000000","2021"
"DOT","Federal Highway Administration - Grant - Civil Settlements","1.8094910000","2017"
"DOT","Federal Highway Administration - Grant - Criminal","0.2680000000","2017"
"DOT","Federal Highway Administration Highway Planning and Construction","0.0000000000","2021"
"DOT","Federal Highway Administration Other Grant Programs and Cooperative Agreements","0.0000000000","2021"
"DOT","Federal Highway Administration Research Programs","0.0000000000","2021"
"DOT","Federal Highway Administration Salaries and Expenses","0.0000000000","2021"
"DOT","Federal Motor Carrier Safety Administration - Occupational - Criminal","0.0010000000","2017"
"DOT","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","0.0000000000","2021"
"DOT","Federal Motor Carrier Safety Administration Operations and Programs","0.0000000000","2021"
"DOT","Federal Motor Carrier Safety Administration Operations and Programs","0.0000000000","2021"
"DOT","Federal Railroad Administration - Grant - Civil Settlement","1.5000000000","2017"
"DOT","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0.0000000000","2021"
"DOT","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0.0000000000","2021"
"DOT","Federal Railroad Administration High-Speed Intercity Passenger Rail","0.0000000000","2021"
"DOT","Federal Railroad Administration Other Grant Programs","0.0000000000","2021"
"DOT","Federal Railroad Administration Railroad Research and Development","0.0000000000","2021"
"DOT","Federal Railroad Administration Safety and Operations","0.0000000000","2021"
"DOT","Federal Transit Administration - Grant - Civil Settlement","0.0450000000","2017"
"DOT","Federal Transit Administration Administrative Expenses","0.0000000000","2021"
"DOT","Federal Transit Administration Administrative Expenses","0.0000000000","2021"
"DOT","Federal Transit Administration Capital Investment Grants","0.0000000000","2021"
"DOT","Federal Transit Administration Emergency Relief Program","0.0000000000","2021"
"DOT","Federal Transit Administration Emergency Relief Program","0.0000000000","2021"
"DOT","Federal Transit Administration Formula Grants","0.0000000000","2021"
"DOT","Federal Transit Administration Other Grant Programs","0.0000000000","2021"
"DOT","Federal Transit Administration Transit Infrastructure Grants","0.0000000000","2021"
"DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","0.0000000000","2021"
"DOT","Federal Transit Administration Washington Metro","0.0000000000","2021"
"DOT","Grants","2.2200000000","2019"
"DOT","Grants","3.1165405000","2018"
"DOT","Grants","5.5098620000","2020"
"DOT","Maritime Administration Approval Workflow Contract Payments","0.0000000000","2021"
"DOT","Maritime Administration Assistance Programs","0.0000000000","2021"
"DOT","Maritime Administration Electronic Invoicing System Ship Manager Payments","0.0000000000","2021"
"DOT","Maritime Administration Federal Ship Financing Program Contracts","0.0000000000","2021"
"DOT","Maritime Administration Personnel Compensation and Benefits","0.0000000000","2021"
"DOT","Maritime Administration Student Incentive Program","0.0000000000","2021"
"DOT","Maritime Administration Travel Payments","0.0000000000","2021"
"DOT","National Highway Traffic Safety Administration Highway Traffic Safety Grants","0.0000000000","2021"
"DOT","National Highway Traffic Safety Administration Operations and Research","0.0000000000","2021"
"DOT","Office of Inspector General Salaries and Expenses","0.0000000000","2021"
"DOT","Office of the Secretary Grant Programs","0.0000000000","2021"
"DOT","Office of the Secretary Grant Programs - Allocation and Administered Accounts","0.0000000000","2021"
"DOT","Office of the Secretary Loan Programs","0.0000000000","2021"
"DOT","Office of the Secretary Salaries and Expenses","0.0000000000","2021"
"DOT","Other","0.0050520000","2020"
"DOT","Other","0.0609610000","2018"
"DOT","Other","0.1621684500","2019"
"DOT","Pipeline and Hazardous Materials Safety Administration Payments","0.0000000000","2021"
"EAC","","0.0000000000","2022"
"EAC","","0.0000000000","2023"
"EAC","Election Assistance Commission","0.0000000000","2021"
"ED","","0.6500000000","2024"
"ED","","8.7700000000","2022"
"ED","","22.4400000000","2023"
"ED","Academic Competitiveness Grant","0.0000000000","2021"
"ED","Administrative","0.0000000000","2019"
"ED","Administrative","0.0000000000","2020"
"ED","Administrative","0.1060831100","2018"
"ED","Administrative","15.8100000000","2017"
"ED","Adult Education - Basic Grants to States","0.0000000000","2021"
"ED","American History and Civics Education","0.0000000000","2021"
"ED","Arts in Education","0.0000000000","2021"
"ED","Career and Technical Education - Basic Grants to States","0.0000000000","2021"
"ED","Career and Technical Education - National Programs","0.0000000000","2021"
"ED","Centers for International Business Education","0.0000000000","2021"
"ED","Charter Schools","0.0000000000","2021"
"ED","Child Care Access Means Parents in School","0.0000000000","2021"
"ED","Child Care Provider Loan Forgiveness Demonstration","0.0000000000","2021"
"ED","Civil","0.0000000000","2018"
"ED","Civil","0.6400000000","2019"
"ED","Civil","1.8900000000","2020"
"ED","Civil","28.9600000000","2017"
"ED","Comprehensive Centers","0.0000000000","2021"
"ED","Comprehensive Literacy Development","0.0000000000","2021"
"ED","Consolidated Grant to the Outlying Areas","0.0000000000","2021"
"ED","Contracts Management","0.0000000000","2021"
"ED","Credit Enhancement for Charter School Facilities","0.0000000000","2021"
"ED","Criminal","2.6200000000","2017"
"ED","Criminal","3.8900000000","2020"
"ED","Criminal","9.3600000000","2019"
"ED","Criminal","15.8188984000","2018"
"ED","DC Opportunity Scholarship Program","0.0000000000","2021"
"ED","Disability Innovation Fund (DIF)","0.0000000000","2021"
"ED","Disaster Recovery Assistance for Education","0.0000000000","2021"
"ED","Education for Homeless Children and Youth","0.0000000000","2021"
"ED","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","0.0000000000","2021"
"ED","Education Research, Development and Dissemination","0.0000000000","2021"
"ED","Education Stabilization Fund","0.0000000000","2021"
"ED","Emergency Assistance to Institutions of Higher Education","0.0000000000","2021"
"ED","English Language Acquisition State Grants","0.0000000000","2021"
"ED","Federal Family Education Loan (FFEL)","0.0000000000","2021"
"ED","Federal Pell Grant Program","1.6000000000","2021"
"ED","Federal Perkins Loan (Perkins)","0.0000000000","2021"
"ED","Federal Supplemental Educational Opportunity Grant (FSEOG)","0.0000000000","2021"
"ED","Federal Work-Study","0.0000000000","2021"
"ED","Gaining Early Awareness and Readiness for Undergraduate Programs","0.0000000000","2021"
"ED","Gallaudet University","0.0000000000","2021"
"ED","Graduate Assistance in Areas of National Need","0.0000000000","2021"
"ED","Grants for State Assessments and Related Activities","0.0000000000","2021"
"ED","Health Education Assistance Loan (HEAL)","0.0000000000","2021"
"ED","Helen Keller National Center","0.0000000000","2021"
"ED","Higher Education Institutional Aid","0.0800000000","2021"
"ED","Immediate Aid To Restart School Operations (RESTART)","0.0000000000","2021"
"ED","Impact Aid","0.0000000000","2021"
"ED","Impact Aid Facilities Maintenance","0.0000000000","2021"
"ED","Indian Education - Special Programs for Indian Children","0.0000000000","2021"
"ED","Indian Education Grants to Local Educational Agencies","0.0000000000","2021"
"ED","Innovative Approaches to Literacy; Promise Neighborhoods; and Full-Service Community Schools","0.0000000000","2021"
"ED","International Research and Studies","0.0000000000","2021"
"ED","Iraq and Afghanistan Service Grant (IASG)","0.0000000000","2021"
"ED","Javits Gifted and Talented Students Education","0.0000000000","2021"
"ED","Language Resource Centers","0.0000000000","2021"
"ED","Leveraging Educational Assistance Partnership (LEAP) Program","0.0000000000","2021"
"ED","Mathematics and Science Partnerships","0.0000000000","2021"
"ED","Migrant Education Coordination Program","0.0000000000","2021"
"ED","Migrant Education High School Equivalency Program","0.0000000000","2021"
"ED","Migrant Education State Grant Program","0.0000000000","2021"
"ED","Minority Science and Engineering Improvement","0.0000000000","2021"
"ED","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","0.0000000000","2021"
"ED","Native Hawaiian Education","0.0000000000","2021"
"ED","Overseas Programs - Doctoral Dissertation Research Abroad","0.0000000000","2021"
"ED","Personnel Compensation and Benefits","0.0000000000","2021"
"ED","Preschool Development Grants","0.0000000000","2021"
"ED","Rehabilitation Long-Term Training","0.0000000000","2021"
"ED","Rehabilitation Services Demonstration and Training Programs","0.0000000000","2021"
"ED","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","0.0000000000","2021"
"ED","Rehabilitation Services Vocational Rehabilitation Grants to States","0.6900000000","2021"
"ED","Rehabilitation Training Technical Assistance Centers","0.0000000000","2021"
"ED","Research in Special Education","0.0000000000","2021"
"ED","Rural Education","0.0000000000","2021"
"ED","School Improvement Grants","0.0000000000","2021"
"ED","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","0.0000000000","2021"
"ED","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","0.0000000000","2021"
"ED","Special Education - State Personnel Development","0.0000000000","2021"
"ED","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","0.0000000000","2021"
"ED","Special Education Grants to States","0.0000000000","2021"
"ED","Special Education Parent Information Centers","0.0000000000","2021"
"ED","Special Education Preschool Grants","0.0000000000","2021"
"ED","Special Education Technical Assistance on State Data Collection","0.0000000000","2021"
"ED","Special Education-Grants for Infants and Families","0.0000000000","2021"
"ED","Statewide Family Engagement Centers","0.0000000000","2021"
"ED","Statewide Longitudinal Data Systems","0.0000000000","2021"
"ED","Strengthening Minority-Serving Institutions","0.0000000000","2021"
"ED","Student Support and Academic Enrichment Program","0.0000000000","2021"
"ED","Supplemental Education Grants","0.0000000000","2021"
"ED","Supported Employment Services for Individuals with the Most Significant Disabilities","0.0000000000","2021"
"ED","Supporting Effective Educator Development Program","0.0000000000","2021"
"ED","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)","0.0000000000","2021"
"ED","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","0.0000000000","2021"
"ED","Teacher Education Assistance for College and Higher Education Grant (TEACH)","0.0000000000","2021"
"ED","Teacher Quality Partnership Grants","0.0000000000","2021"
"ED","Temporary Emergency Impact Aid for Displaced Students","0.0000000000","2021"
"ED","Title I Grants to Local Educational Agencies","2.8100000000","2021"
"ED","Title I State Agency Program for Neglected and Delinquent Children and Youth","0.0000000000","2021"
"ED","Transition Programs for Students with Intellectual Disabilities into Higher Education","0.0000000000","2021"
"ED","Travel and Transportation - Department of Education","0.0000000000","2021"
"ED","TRIO Educational Opportunity Centers","0.0000000000","2021"
"ED","TRIO McNair Post-Baccalaureate Achievement","0.0000000000","2021"
"ED","TRIO Staff Training Program","0.0000000000","2021"
"ED","TRIO Student Support Services","0.0000000000","2021"
"ED","TRIO Talent Search","0.0000000000","2021"
"ED","TRIO Upward Bound","0.0000000000","2021"
"ED","Twenty-First Century Community Learning Centers","0.1400000000","2021"
"ED","William D. Ford Federal Direct Loan Program ","1.4000000000","2021"
"EEOC","","0.0000000000","2022"
"EEOC","","0.0000000000","2023"
"EPA","","0.0020000000","2023"
"EPA","","0.9700000000","2022"
"EPA","","2.0000000000","2024"
"EPA","Clean Water State Revolving Fund (CWSRF)","0.0000000000","2021"
"EPA","Commodities - Environmental Protection Agency","0.0000000000","2021"
"EPA","Contracts - Environmental Protection Agency","0.0000000000","2021"
"EPA","Contracts - Environmental Protection Agency","0.6700000000","2017"
"EPA","Contracts - Environmental Protection Agency","0.7500000000","2020"
"EPA","Disaster Relief - Hurricane Sandy Fund (Sandy)","0.0000000000","2021"
"EPA","Disaster Relief Funds (2018)","0.0000000000","2021"
"EPA","Drinking Water State Revolving Fund (DWSRF)","0.0000000000","2021"
"EPA","Drinking Water State Revolving Fund (DWSRF)","0.4800000000","2017"
"EPA","Grants - Environmental Protection Agency","0.3190000000","2021"
"EPA","Grants - Environmental Protection Agency","0.4026880000","2019"
"EPA","Grants - Environmental Protection Agency","0.4800000000","2017"
"EPA","Grants - Environmental Protection Agency","5.4129950000","2019"
"EPA","Other","0.0012330000","2019"
"EPA","Other","0.0151000000","2020"
"EPA","Payroll - Environmental Protection Agency","0.0000000000","2021"
"EPA","Payroll - Environmental Protection Agency","0.0300000000","2018"
"EPA","Purchase Cards - Environmental Protection Agency","0.0000000000","2021"
"EPA","Travel - Environmental Protection Agency","0.0000000000","2021"
"EXIM","","0.0000000000","2023"
"EXIM","","0.0000000000","2024"
"EXIM","","1.8400000000","2022"
"FCA","","0.0000000000","2022"
"FCA","","0.0000000000","2023"
"FCA","","0.0000000000","2024"
"FCC","","0.0000000000","2022"
"FCC","","0.3420000000","2023"
"FCC","","109.6400000000","2024"
"FCC","COVID-19 Telehealth","0.0000000000","2021"
"FCC","Federal Communications Commission Operating Expenses","0.0000000000","2021"
"FCC","North American Numbering Plan","0.0000000000","2021"
"FCC","Telecommunications Relay Service","0.0000000000","2018"
"FCC","Telecommunications Relay Service","0.0000000000","2021"
"FCC","TV Broadcasting Relocation Fund","0.0000000000","2021"
"FCC","Universal Service Administrative Company (USAC) - Administrative Costs","0.0000000000","2018"
"FCC","Universal Service Administrative Company (USAC) - Administrative Costs","0.0000000000","2021"
"FCC","Universal Service Fund - High Cost Legacy","0.0000000000","2018"
"FCC","Universal Service Fund - High Cost Legacy","0.0000000000","2021"
"FCC","Universal Service Fund - Lifeline","0.0000000000","2018"
"FCC","Universal Service Fund - Lifeline","0.0000000000","2021"
"FCC","Universal Service Fund - Rural Health Care","0.0000000000","2018"
"FCC","Universal Service Fund - Rural Health Care","0.0000000000","2021"
"FCC","Universal Service Fund - Schools and Libraries","0.0000000000","2018"
"FCC","Universal Service Fund - Schools and Libraries","0.0000000000","2021"
"FCC","USF-Rural Health Care","2.1451350000","2019"
"FCC","USF-Rural Health Care","19.0471120000","2020"
"FEC","","0.0000000000","2022"
"FEC","","0.0000000000","2023"
"FEC","","0.0000000000","2024"
"FERC","","0.0000000000","2024"
"FLRA","","0.0000000000","2023"
"FLRA","","0.0000000000","2024"
"FMC","","-1.0000000000","2022"
"FMC","","0.0000000000","2023"
"FMC","","0.0000000000","2024"
"FMC","Office of Inspector General","0.0000000000","2020"
"FMC","Office of Inspector General","0.0000000000","2021"
"FMC","Operations and Administration","0.0000000000","2020"
"FMC","Operations and Administration","0.0000000000","2021"
