"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"DOL","2022","Mine Safety and Health Administration","0","No","",""
"DOL","2022","Office of Labor-Management Standards","0","No","",""
"DOL","2022","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","No","",""
"DOL","2022","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","No","",""
"DOL","2022","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","No","",""
"DOL","2023","Bureau of Labor Statistics - Compensation and Working Conditions","0","","No","No"
"DOL","2023","Bureau of Labor Statistics - Executive Direction and Staff Services","0","","Yes","No"
"DOL","2023","Bureau of Labor Statistics - Labor Force Statistics","0","","No","No"
"DOL","2023","Bureau of Labor Statistics - Prices and Cost of Living","0","","Yes","No"
"DOL","2023","Bureau of Labor Statistics - Productivity and Technology","0","","Yes","No"
"DOL","2023","Bureau of Labor Statistics- Headquarters Relocation","0","","Yes","No"
"DOL","2023","Department of Labor - Departmental Management","0","","No","No"
"DOL","2023","Department of Labor - Office of Inspector General","0","","No","No"
"DOL","2023","Employee Benefits Security Administration","0","","No","No"
"DOL","2023","Employment & Training Administration - Adult Employment and Training Activities","0","","No","No"
"DOL","2023","Employment & Training Administration - Apprenticeship","0","","No","No"
"DOL","2023","Employment & Training Administration - Community Service Employment for Older Americans","0","","Yes","No"
"DOL","2023","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","0","","No","No"
"DOL","2023","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves","0","","No","No"
"DOL","2023","Employment & Training Administration - Employment Service","0","","No","No"
"DOL","2023","Employment & Training Administration - Federal State Unemployment Insurance","0","","Yes","Yes"
"DOL","2023","Employment & Training Administration - Foreign Labor Certification","0","","No","No"
"DOL","2023","Employment & Training Administration - Indian and Native American Program","0","","No","No"
"DOL","2023","Employment & Training Administration - Job Corps","0","","No","No"
"DOL","2023","Employment & Training Administration - Migrant and Seasonal Farmworker","0","","No","No"
"DOL","2023","Employment & Training Administration - Reintegration of Ex-Offenders","0","","No","No"
"DOL","2023","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0","","No","No"
"DOL","2023","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemployment Assistance","0","","Yes","Yes"
"DOL","2023","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Unemplyment Compensation","0","","No","No"
"DOL","2023","Employment & Training Administration - Workforce Data Quality Initiative","0","","No","No"
"DOL","2023","Employment & Training Administration - Workforce Information Etools","0","","No","No"
"DOL","2023","Employment & Training Administration - Youth Activities","0","","No","No"
"DOL","2023","Employment & Training Administration - YouthBuild","0","","No","No"
"DOL","2023","International Labor Affairs Bureau","0","","No","No"
"DOL","2023","Mine Safety and Health Administration","0","","No","No"
"DOL","2023","Occupational Safety and Health Administration","0","","Yes","No"
"DOL","2023","Office of Disability Employment Policy","0","","No","No"
"DOL","2023","Office of Federal Contract Compliance Programs","0","","No","No"
"DOL","2023","Office of Labor-Management Standards","0","","No","No"
"DOL","2023","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","","No","No"
"DOL","2023","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","0","","Yes","No"
"DOL","2023","Office of Workers' Compensation - Federal Employees' Compensation Act","0","","Yes","Yes"
"DOL","2023","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","","No","No"
"DOL","2023","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","","No","No"
"DOL","2023","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","0","","No","No"
"DOL","2023","Veterans Employment Training Service - Jobs for Veterans State Grants","0","","Yes","No"
"DOL","2023","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","0","","No","No"
"DOL","2023","Wage and Hour Division","0","","Yes","No"
"DOL","2023","Women's Bureau","0","","Yes","No"
"DOL","2024","Bureau of Labor Statistics - Compensation and Working Conditions","0","","No","No"
"DOL","2024","Bureau of Labor Statistics - Executive Direction and Staff Services","0","","No","No"
"DOL","2024","Bureau of Labor Statistics - Headquarters Relocation","0","","No","No"
"DOL","2024","Bureau of Labor Statistics - Labor Force Statistics","0","","No","No"
"DOL","2024","Bureau of Labor Statistics - Prices and Cost of Living","0","","No","No"
"DOL","2024","Bureau of Labor Statistics - Productivity and Technology","0","","No","No"
"DOL","2024","Department of Labor - Departmental Management","0","","Yes","No"
"DOL","2024","Department of Labor - Office of Inspector General","0","","Yes","No"
"DOL","2024","Employee Benefits Security Administration","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Adult Employment and Training Activities","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Apprenticeship","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Community Projects","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Community Service Employment for Older Americans","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Dislocated Worker Employment and Training Activities - Formula","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Dislocated Worker Employment and Training Activities - National Reserves","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Employment Service","0","","No","No"
"DOL","2024","Employment & Training Administration - Federal State Unemployment Insurance","0","","Yes","Yes"
"DOL","2024","Employment & Training Administration - Foreign Labor Certification","0","","No","No"
"DOL","2024","Employment & Training Administration - Indian and Native American Program","0","","No","No"
"DOL","2024","Employment & Training Administration - Job Corps","0","","No","No"
"DOL","2024","Employment & Training Administration - Migrant and Seasonal Farmworker","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Reintegration of Ex-Offenders","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Trade Adjustment Assistance Federal Unemployment Benefits and Allowances","0","","No","No"
"DOL","2024","Employment & Training Administration - Unemployment Insurance - Federal Pandemic Emergency Unemployment Compensation","0","","Yes","No"
"DOL","2024","Employment & Training Administration - Workforce Data Quality Initiative","0","","No","No"
"DOL","2024","Employment & Training Administration - Workforce Information Etools","0","","No","No"
"DOL","2024","Employment & Training Administration - Youth Activities","0","","Yes","No"
"DOL","2024","Employment & Training Administration - YouthBuild","0","","Yes","No"
"DOL","2024","International Labor Affairs Bureau","0","","Yes","No"
"DOL","2024","Mine Safety and Health Administration","0","","No","No"
"DOL","2024","Occupational Safety and Health Administration","0","","No","No"
"DOL","2024","Office of Disability Employment Policy","0","","Yes","No"
"DOL","2024","Office of Federal Contract Compliance Programs","0","","Yes","No"
"DOL","2024","Office of Labor-Management Standards","0","","No","No"
"DOL","2024","Office of Workers' Compensation - Coal Mine Workers' Compensation","0","","No","No"
"DOL","2024","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation","0","","No","No"
"DOL","2024","Office of Workers' Compensation - Federal Employees' Compensation Act","0","","Yes","Yes"
"DOL","2024","Office of Workers' Compensation - Longshore and Harbor Workers Compensation","0","","No","No"
"DOL","2024","Veterans Employment Training Service - Federal Administration & Uniformed Services Employment and Reemployment Rights Act (USERRA) Enforcement","0","","No","No"
"DOL","2024","Veterans Employment Training Service - Homeless Veterans' Reintegration Program","0","","Yes","No"
"DOL","2024","Veterans Employment Training Service - Jobs for Veterans State Grants","0","","No","No"
"DOL","2024","Veterans Employment Training Service - Transition Assistance Program Employment Workshop","0","","Yes","No"
"DOL","2024","Wage and Hour Division","0","","No","No"
"DOT","2019","Federal Aviation Administration Grants-in-Aid for Airports","","No","",""
"DOT","2019","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","No","",""
"DOT","2019","Federal Transit Administration Formula Grants","","No","",""
"DOT","2019","Federal Transit Administration Washington Metro","","No","",""
"DOT","2020","Federal Aviation Administration Facilities and Equipment","","NO","",""
"DOT","2020","Federal Aviation Administration Franchise Fund","","NO","",""
"DOT","2020","Federal Aviation Administration Operations","","NO","",""
"DOT","2020","Federal Aviation Administration Research, Engineering and Development","","NO","",""
"DOT","2020","Federal Highway Administration Other Grant Programs and Cooperative Agreements","","NO","",""
"DOT","2020","Federal Highway Administration Research Programs","","NO","",""
"DOT","2020","Federal Highway Administration Salaries and Expenses","","NO","",""
"DOT","2020","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","","NO","",""
"DOT","2020","Federal Motor Carrier Safety Administration Operations and Programs","","NO","",""
"DOT","2020","Federal Railroad Administration High-Speed Intercity Passenger Rail","","NO","",""
"DOT","2020","Federal Railroad Administration Other Grant Programs","","NO","",""
"DOT","2020","Federal Railroad Administration Railroad Research and Development","","NO","",""
"DOT","2020","Federal Railroad Administration Safety and Operations","","NO","",""
"DOT","2020","Federal Transit Administration Administrative Expenses","","NO","",""
"DOT","2020","Federal Transit Administration Capital Investment Grants","","NO","",""
"DOT","2020","Federal Transit Administration Other Grant Programs","","NO","",""
"DOT","2020","Federal Transit Administration Transit Infrastructure Grants","","NO","",""
"DOT","2020","Maritime Administration Approval Workflow Contract Payments","","NO","",""
"DOT","2020","Maritime Administration Assistance Programs","","NO","",""
"DOT","2020","Maritime Administration Electronic Invoicing System Ship Manager Payments","","NO","",""
"DOT","2020","Maritime Administration Federal Ship Financing Program Contracts","","NO","",""
"DOT","2020","Maritime Administration Personnel Compensation and Benefits","","NO","",""
"DOT","2020","Maritime Administration Student Incentive Program","","NO","",""
"DOT","2020","Maritime Administration Travel Payments","","NO","",""
"DOT","2020","National Highway Traffic Safety Administration Highway Traffic Safety Grants","","NO","",""
"DOT","2020","National Highway Traffic Safety Administration Operations and Research","","NO","",""
"DOT","2020","Office of Inspector General Salaries and Expenses","","NO","",""
"DOT","2020","Office of the Secretary Grant Programs - Allocation and Administered Accounts","","NO","",""
"DOT","2020","Office of the Secretary Grant Programs","","NO","",""
"DOT","2020","Office of the Secretary Loan Programs","","NO","",""
"DOT","2020","Office of the Secretary Salaries and Expenses","","NO","",""
"DOT","2020","Pipeline and Hazardous Materials Safety Administration Payments","","NO","",""
"DOT","2021","Federal Aviation Administration Grants-in-Aid for Airports","","No","",""
"DOT","2021","Federal Railroad Administration Grants to National Railroad Passenger Corporation","","No","",""
"DOT","2021","Federal Transit Administration Emergency Relief Program","","No","",""
"DOT","2021","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","","Yes","",""
"DOT","2022","Federal Aviation Administration Airport Concessionaire Relief","0","No","",""
"DOT","2022","Federal Aviation Administration Grants-in-Aid for Airports","","No","",""
"DOT","2022","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","No","",""
"DOT","2022","Federal Transit Administration Formula Grants","0","No","",""
"DOT","2022","Federal Transit Administration Washington Metro","0","No","",""
"DOT","2022","Office of the Secretary Aviation Manufacturing Jobs Protection Program","0","No","",""
"DOT","2023","Federal Aviation Administration Airport Concessionaire Relief","0","","No","No"
"DOT","2023","Federal Aviation Administration Airport Response Grant Program","0","","Yes","No"
"DOT","2023","Federal Aviation Administration Facilities and Equipment","0","","Yes","No"
"DOT","2023","Federal Aviation Administration Franchise Fund","0","","Yes","No"
"DOT","2023","Federal Aviation Administration Grants-in-Aid for Airports","0","","No","No"
"DOT","2023","Federal Aviation Administration Operations","0","","Yes","No"
"DOT","2023","Federal Aviation Administration Research, Engineering and Development","0","","Yes","No"
"DOT","2023","Federal Highway Administration Highway Planning and Construction","0","","No","No"
"DOT","2023","Federal Highway Administration Other Grant Programs and Cooperative Agreements","0","","Yes","No"
"DOT","2023","Federal Highway Administration Research Programs","0","","Yes","No"
"DOT","2023","Federal Highway Administration Salaries and Expenses","0","","Yes","No"
"DOT","2023","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","0","","Yes","No"
"DOT","2023","Federal Motor Carrier Safety Administration Operations and Programs","0","","Yes","No"
"DOT","2023","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","","No","No"
"DOT","2023","Federal Railroad Administration High-Speed Intercity Passenger Rail","0","","Yes","No"
"DOT","2023","Federal Railroad Administration Other Grant Programs","0","","Yes","No"
"DOT","2023","Federal Railroad Administration Railroad Research and Development","0","","Yes","No"
"DOT","2023","Federal Railroad Administration Safety and Operations","0","","Yes","No"
"DOT","2023","Federal Transit Administration Administrative Expenses","0","","Yes","No"
"DOT","2023","Federal Transit Administration Capital Investment Grants","0","","Yes","No"
"DOT","2023","Federal Transit Administration Emergency Relief Program","0","","No","No"
"DOT","2023","Federal Transit Administration Formula Grants","0","","No","No"
"DOT","2023","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","0","","No","No"
"DOT","2023","Federal Transit Administration Transit Infrastructure Grants","0","","Yes","No"
"DOT","2023","Federal Transit Administration Washington Metro","0","","No","No"
"DOT","2023","Maritime Administration Approval Workflow Contract Payments","0","","Yes","No"
"DOT","2023","Maritime Administration Assistance Programs","0","","Yes","No"
"DOT","2023","Maritime Administration Electronic Invoicing System Ship Manager Payments","0","","Yes","No"
"DOT","2023","Maritime Administration Federal Ship Financing Program Contracts","0","","Yes","No"
"DOT","2023","Maritime Administration Personnel Compensation and Benefits","0","","Yes","No"
"DOT","2023","Maritime Administration Port Infrastructure Development","0","","Yes","No"
"DOT","2023","Maritime Administration Student Incentive Program","0","","Yes","No"
"DOT","2023","National Highway Traffic Safety Administration Highway Traffic Safety Grants","0","","Yes","No"
"DOT","2023","National Highway Traffic Safety Administration Operations and Research","0","","Yes","No"
"DOT","2023","Office of Inspector General Salaries and Expenses","0","","Yes","No"
"DOT","2023","Office of the Secretary Aviation Manufacturing Jobs Protection Program","0","","No","No"
"DOT","2023","Office of the Secretary Grant Programs - Allocation and Administered Accounts","0","","Yes","No"
"DOT","2023","Office of the Secretary Grant Programs","0","","Yes","No"
"DOT","2023","Office of the Secretary Loan Programs","0","","Yes","No"
"DOT","2023","Office of the Secretary Salaries and Expenses","0","","Yes","No"
"DOT","2023","Pipeline and Hazardous Materials Safety Administration Payments","0","","Yes","No"
"DOT","2024","Federal Aviation Administration Airport Concessionaire Relief","0","","No","No"
"DOT","2024","Federal Aviation Administration Airport Response Grant Program","0","","No","No"
"DOT","2024","Federal Aviation Administration Facilities and Equipment","0","","No","No"
"DOT","2024","Federal Aviation Administration Franchise Fund","0","","No","No"
"DOT","2024","Federal Aviation Administration Grants-in-Aid for Airports","0","","No","No"
"DOT","2024","Federal Aviation Administration Operations","0","","No","No"
"DOT","2024","Federal Aviation Administration Research, Engineering and Development","0","","No","No"
"DOT","2024","Federal Highway Administration Highway Planning and Construction","0","","No","No"
"DOT","2024","Federal Highway Administration Other Grant Programs and Cooperative Agreements","0","","No","No"
"DOT","2024","Federal Highway Administration Research Programs","0","","No","No"
"DOT","2024","Federal Highway Administration Salaries and Expenses","0","","No","No"
"DOT","2024","Federal Motor Carrier Safety Administration Motor Carrier Safety Grants","0","","No","No"
"DOT","2024","Federal Motor Carrier Safety Administration Operations and Programs","0","","No","No"
"DOT","2024","Federal Railroad Administration Grants to National Railroad Passenger Corporation","0","","No","No"
"DOT","2024","Federal Railroad Administration High-Speed Intercity Passenger Rail","0","","No","No"
"DOT","2024","Federal Railroad Administration Other Grant Programs","0","","No","No"
"DOT","2024","Federal Railroad Administration Railroad Research and Development","0","","No","No"
"DOT","2024","Federal Railroad Administration Safety and Operations","0","","No","No"
"DOT","2024","Federal Transit Administration Administrative Expenses","0","","No","No"
"DOT","2024","Federal Transit Administration Capital Investment Grants","0","","No","No"
"DOT","2024","Federal Transit Administration Emergency Relief Program","0","","Yes","No"
"DOT","2024","Federal Transit Administration Formula Grants","0","","No","No"
"DOT","2024","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","0","","No","No"
"DOT","2024","Federal Transit Administration Transit Infrastructure Grants","0","","No","No"
"DOT","2024","Federal Transit Administration Washington Metro","0","","No","No"
"DOT","2024","Maritime Administration Approval Workflow Contract Payments","0","","No","No"
"DOT","2024","Maritime Administration Assistance Programs","0","","No","No"
"DOT","2024","Maritime Administration Electronic Invoicing System Ship Manager Payments","0","","No","No"
"DOT","2024","Maritime Administration Federal Ship Financing Program Contracts","0","","No","No"
"DOT","2024","Maritime Administration Personnel Compensation and Benefits","0","","No","No"
"DOT","2024","Maritime Administration Port Infrastructure Development","0","","No","No"
"DOT","2024","Maritime Administration Student Incentive Program","0","","No","No"
"DOT","2024","National Highway Traffic Safety Administration Highway Traffic Safety Grants","0","","No","No"
"DOT","2024","National Highway Traffic Safety Administration Operations and Research","0","","No","No"
"DOT","2024","Office of Inspector General Salaries and Expenses","0","","No","No"
"DOT","2024","Office of the Secretary Aviation Manufacturing Jobs Protection Program","0","","No","No"
"DOT","2024","Office of the Secretary Grant Programs - Allocation and Administered Accounts","0","","No","No"
"DOT","2024","Office of the Secretary Grant Programs","0","","No","No"
"DOT","2024","Office of the Secretary Loan Programs","0","","No","No"
"DOT","2024","Office of the Secretary Salaries and Expenses","0","","No","No"
"DOT","2024","Pipeline and Hazardous Materials Safety Administration Payments","0","","No","No"
"EAC","2023","Election Security Grants","0","","Yes","No"
"ED","2019","Adult Education - Basic Grants to States","","No","",""
"ED","2019","Adult Education National Leadership Activities","","No","",""
"ED","2019","Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants)","","No","",""
"ED","2019","Alaska Native Educational Programs","","No","",""
"ED","2019","American History and Civics Education","","No","",""
"ED","2019","American Indian Vocational Rehabilitation Services","","No","",""
"ED","2019","American Overseas Research Centers","","No","",""
"ED","2019","American Printing House for the Blind","","No","",""
"ED","2019","Arts in Education","","No","",""
"ED","2019","Career and Technical Education - Basic Grants to States","","No","",""
"ED","2019","Career and Technical Education - Grants to Native Americans and Alaska Natives","","No","",""
"ED","2019","Career and Technical Education - National Programs","","No","",""
"ED","2019","Centers for International Business Education","","No","",""
"ED","2019","Charter Schools","","No","",""
"ED","2019","Child Care Access Means Parents in School","","No","",""
"ED","2019","Civil Rights Training and Advisory Services (Equity Assistance Centers)","","No","",""
"ED","2019","College Access Challenge Grant Program","","No","",""
"ED","2019","Competitive Grants for State Assessments (formerly Grants for Enhanced Assessment Instruments)","","No","",""
"ED","2019","Comprehensive Centers","","No","",""
"ED","2019","Comprehensive Literacy Development","","No","",""
"ED","2019","Consolidated Grant to the Outlying Areas","","No","",""
"ED","2019","Credit Enhancement for Charter School Facilities","","No","",""
"ED","2019","DC Opportunity Scholarship Program","","No","",""
"ED","2019","Disability Innovation Fund (DIF)","","No","",""
"ED","2019","Disaster Recovery Assistance for Education","","No","",""
"ED","2019","Education for Homeless Children and Youth","","No","",""
"ED","2019","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","","No","",""
"ED","2019","Education Research, Development and Dissemination","","No","",""
"ED","2019","English Language Acquisition State Grants","","No","",""
"ED","2019","Fund for the Improvement of Postsecondary Education","","No","",""
"ED","2019","Gaining Early Awareness and Readiness for Undergraduate Programs","","No","",""
"ED","2019","Gallaudet University","","No","",""
"ED","2019","Graduate Assistance in Areas of National Need","","No","",""
"ED","2019","Graduate Research Opportunities for Minority Students (Minorities and Retirement Security Program)","","No","",""
"ED","2019","Grants for State Assessments and Related Activities","","No","",""
"ED","2019","Helen Keller National Center","","No","",""
"ED","2019","Higher Education Institutional Aid","","No","",""
"ED","2019","Howard University","","No","",""
"ED","2019","Impact Aid Facilities Maintenance","","No","",""
"ED","2019","Impact Aid","","No","",""
"ED","2019","Indian Education - Special Programs for Indian Children","","No","",""
"ED","2019","Indian Education Grants to Local Educational Agencies","","No","",""
"ED","2019","Indian Education National Activities (State Tribal Education Partnership (STEP) and Native American Language (NAL)","","No","",""
"ED","2019","Innovative Approaches to Literacy; Promise Neighborhoods; and Full-Service Community Schools","","No","",""
"ED","2019","Innovative Rehabilitation Training","","No","",""
"ED","2019","International Research and Studies","","No","",""
"ED","2019","Javits Gifted and Talented Students Education","","No","",""
"ED","2019","Language Resource Centers","","No","",""
"ED","2019","Magnet Schools Assistance","","No","",""
"ED","2019","Mathematics and Science Partnerships","","No","",""
"ED","2019","Migrant and Seasonal Farmworkers Program","","No","",""
"ED","2019","Migrant Education College Assistance Migrant Program","","No","",""
"ED","2019","Migrant Education Coordination Program","","No","",""
"ED","2019","Migrant Education High School Equivalency Program","","No","",""
"ED","2019","Migrant Education State Grant Program","","No","",""
"ED","2019","Minority Science and Engineering Improvement","","No","",""
"ED","2019","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program","","No","",""
"ED","2019","National Technical Institute for the Deaf","","No","",""
"ED","2019","Native Hawaiian Career and Technical Education","","No","",""
"ED","2019","Native Hawaiian Education","","No","",""
"ED","2019","Overseas Programs - Doctoral Dissertation Research Abroad","","No","",""
"ED","2019","Overseas Programs - Group Projects Abroad","","No","",""
"ED","2019","Performance Partnership Pilots for Disconnected Youth","","No","",""
"ED","2019","Preschool Development Grants","","No","",""
"ED","2019","Program of Protection and Advocacy of Individual Rights","","No","",""
"ED","2019","Promoting Readiness of Minors in Supplemental Security Income","","No","",""
"ED","2019","Race to the Top - District Grants","","No","",""
"ED","2019","Race to the Top - Early Learning Challenge","","No","",""
"ED","2019","Ready-To-Learn Television","","No","",""
"ED","2019","Rehabilitation Long-Term Training","","No","",""
"ED","2019","Rehabilitation Services Client Assistance Program","","No","",""
"ED","2019","Rehabilitation Services Demonstration and Training Programs","","No","",""
"ED","2019","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","","No","",""
"ED","2019","Rehabilitation Services Vocational Rehabilitation Grants to States","","No","",""
"ED","2019","Rehabilitation Short-Term Training","","No","",""
"ED","2019","Rehabilitation Training Technical Assistance Centers","","No","",""
"ED","2019","Research in Special Education","","No","",""
"ED","2019","Rural Education","","No","",""
"ED","2019","School Improvement Grants","","No","",""
"ED","2019","School Leader Recruitment and Support (formerly School Leadership)","","No","",""
"ED","2019","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","","No","",""
"ED","2019","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","","No","",""
"ED","2019","Special Education - Special Olympics Education Programs","","No","",""
"ED","2019","Special Education - State Personnel Development","","No","",""
"ED","2019","Special Education Educational Technology Media, and Materials for Individuals with Disabilities","","No","",""
"ED","2019","Special Education Grants to States","","No","",""
"ED","2019","Special Education Parent Information Centers","","No","",""
"ED","2019","Special Education Preschool Grants","","No","",""
"ED","2019","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","","No","",""
"ED","2019","Special Education Technical Assistance on State Data Collection","","No","",""
"ED","2019","Special Education-Grants for Infants and Families","","No","",""
"ED","2019","State Fiscal Stabilization Fund (SFSF) - Investing in Innovation (i3) Fund, Recovery Act","","No","",""
"ED","2019","Statewide Longitudinal Data Systems","","No","",""
"ED","2019","Strengthening Minority-Serving Institutions","","No","",""
"ED","2019","Student Support and Academic Enrichment Program","","No","",""
"ED","2019","Supported Employment Services for Individuals with the Most Significant Disabilities","","No","",""
"ED","2019","Supporting Effective Educator Development Program","","No","",""
"ED","2019","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)","","No","",""
"ED","2019","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","","No","",""
"ED","2019","Teacher Quality Partnership Grants","","No","",""
"ED","2019","Teacher Quality Partnerships, Recovery Act","","No","",""
"ED","2019","Territories and Freely Associated States Education Grant Program","","No","",""
"ED","2019","Title I Grants to Local Educational Agencies","","No","",""
"ED","2019","Title I State Agency Program for Neglected and Delinquent Children and Youth","","No","",""
"ED","2019","Traditionally Underserved Populations","","No","",""
"ED","2019","Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind","","No","",""
"ED","2019","Transition Programs for Students with Intellectual Disabilities into Higher Education","","No","",""
"ED","2019","Transition to Teaching","","No","",""
"ED","2019","Tribally Controlled Postsecondary Career and Technical Institutions","","No","",""
"ED","2019","TRIO Educational Opportunity Centers","","No","",""
"ED","2019","TRIO McNair Post-Baccalaureate Achievement","","No","",""
"ED","2019","TRIO Staff Training Program","","No","",""
"ED","2019","TRIO Student Support Services","","No","",""
"ED","2019","TRIO Talent Search","","No","",""
"ED","2019","TRIO Upward Bound","","No","",""
"ED","2019","Twenty-First Century Community Learning Centers","","No","",""
"ED","2019","Undergraduate International Studies and Foreign Language Programs","","No","",""
"ED","2020","American History and Civics Education","","NO","",""
"ED","2020","Arts in Education","","NO","",""
"ED","2020","Career and Technical Education - National Programs","","NO","",""
"ED","2020","Charter Schools","","NO","",""
"ED","2020","Competitive Grants for State Assessments (formerly Grants for Enhanced Assessment Instruments)","","NO","",""
"ED","2020","Comprehensive Literacy Development","","NO","",""
"ED","2020","Contracts Management","","NO","",""
"ED","2020","Credit Programs","","NO","",""
"ED","2020","DC Opportunity Scholarship Program","","NO","",""
"ED","2020","Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","","NO","",""
"ED","2020","Education Research, Development and Dissemination","","NO","",""
"ED","2020","Federal Family Education Loan (FFEL)","","NO","",""
"ED","2020","Federal Perkins Loan (Perkins)","","NO","",""
"ED","2020","Federal Supplemental Educational Opportunity Grant (FSEOG)","","NO","",""
"ED","2020","Federal Work-Study","","NO","",""
"ED","2020","Health Education Assistance Loan (HEAL)","","NO","",""
"ED","2020","Higher Education Institutional Aid","","NO","",""
"ED","2020","Iraq and Afghanistan Service Grant (IASG)","","NO","",""
"ED","2020","Overseas Programs - Group Projects Abroad","","NO","",""
"ED","2020","Personnel Compensation and Benefits","","NO","",""
"ED","2020","Purchase Cards - Department of Education","","NO","",""
"ED","2020","Rehabilitation Training Technical Assistance Centers","","NO","",""
"ED","2020","Research in Special Education","","NO","",""
"ED","2020","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)","","NO","",""
"ED","2020","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","","NO","",""
"ED","2020","Special Education - Special Olympics Education Programs","","NO","",""
"ED","2020","Special Education Grants to States","","NO","",""
"ED","2020","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","","NO","",""
"ED","2020","Special Education Technical Assistance on State Data Collection","","NO","",""
"ED","2020","Statewide Family Engagement Centers","","NO","",""
"ED","2020","Student Support and Academic Enrichment Program","","NO","",""
"ED","2020","Teacher Education Assistance for College and Higher Education Grant (TEACH)","","NO","",""
"ED","2020","Title I Grants to Local Educational Agencies","","YES","",""
"ED","2020","Transit Benefits","","NO","",""
"ED","2020","Travel and Transportation - Department of Education","","NO","",""
"ED","2021","Charter Schools","","No","",""
"ED","2021","Consolidated Grant to the Outlying Areas","","No","",""
"ED","2021","Credit Enhancement for Charter School Facilities","","No","",""
"ED","2021","DC Opportunity Scholarship Program","","No","",""
"ED","2021","Education Stabilization Fund","","Yes","",""
"ED","2021","Helen Keller National Center","","No","",""
"ED","2021","Impact Aid Facilities Maintenance","","No","",""
"ED","2021","Impact Aid","","No","",""
"ED","2021","Innovative Approaches to Literacy; Promise Neighborhoods; and Full-Service Community Schools","","No","",""
"ED","2021","Personnel Compensation and Benefits","","No","",""
"ED","2021","Special Education Grants to States","","Yes","",""
"ED","2021","Special Education Technical Assistance on State Data Collection","","No","",""
"ED","2021","Statewide Longitudinal Data Systems","","No","",""
"ED","2022","Adult Education - Basic Grants to States","0","No","",""
"ED","2022","Alaska Native Educational Programs","0","No","",""
"ED","2022","American Indian Vocational Rehabilitation Services","0","No","",""
"ED","2022","American Printing House for the Blind","0","No","",""
"ED","2022","Arts in Education","0","No","",""
"ED","2022","Career and Technical Education - Basic Grants to States","0","No","",""
"ED","2022","Career and Technical Education - Grants to Native Americans and Alaska Natives","0","No","",""
"ED","2022","Charter Schools","0","No","",""
"ED","2022","Child Care Access Means Parents in School","0","No","",""
"ED","2022","Comprehensive Centers","0","No","",""
"ED","2022","Comprehensive Literacy Development","0","No","",""
"ED","2022","Credit Programs","0","No","",""
