"End Date","Recorded Date","Agency","Program Name","ActionNumber","ActionTaken","RecoveryMethod","OverpaymentsRecoverPlan","Quarter Year"
"","","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #2","ETA is developing recommendations to states on the methodology for recovering UC benefits, which are held by banks and financial institutions as a result of potentially fraudulent activity.","Recovery Activity","","Q2 2021"
"","","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #3","","","","Q2 2021"
"Aug 12 2021  3:48PM","Aug 12 2021  3:48PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Overpayments #2","For overpayments identified in Single Audits for which disallowances for expenditures not made in accordance with CCDF regulation were sustained, the disallowances were recovered via offset or repayment.","Recovery Activity","For overpayments identified in Single Audits, states are subject to disallowances for any expenditures not made in accordance with CCDF regulations. Disallowances may be recovered via offset or repayment.","Q3 2021"
"Aug 12 2021  4:02PM","Aug 12 2021  4:02PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Overpayments #2","For more information pertaining to the recovery of overpayments in the CHIP program, please see the Medicare & Medicaid Program Integrity Report to Congress on the CMS website. https://www.cms.gov/About-CMS/Components/CPI/CPIReportsGuidance","Recovery Activity","For more information pertaining to the recovery of overpayments in the CHIP program, please see the Medicare & Medicaid Program Integrity Report to Congress on the CMS website. https://www.cms.gov/About-CMS/Components/CPI/CPIReportsGuidance","Q3 2021"
"Aug 12 2021  4:19PM","Aug 12 2021  4:19PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Overpayments #2","For more information pertaining to the recovery of overpayments in the Medicaid program, please see the Medicare & Medicaid Program Integrity Report to Congress on the CMS website. https://www.cms.gov/About-CMS/Components/CPI/CPIReportsGuidance","Recovery Activity","For more information pertaining to the recovery of overpayments in the Medicaid program, please see the Medicare & Medicaid Program Integrity Report to Congress on the CMS website. https://www.cms.gov/About-CMS/Components/CPI/CPIReportsGuidance","Q3 2021"
"Aug 12 2021  4:28PM","Aug 12 2021  4:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Overpayments #2","HHS announced the Review Choice Demonstration for Home Health Services will be required in the states of North Carolina and Florida as of 09/01/21. The demonstration is currently required in the states of Illinois, Ohio, and Texas.","Recovery Activity","HHS assigns review projects to the Supplemental Medical Review Contractor (SMRC) based on improper payment rate findings. The SMRC is reviewing several projects in FY 21 based on FY 20 improper payment rate findings and OIG report recommendations.","Q3 2021"
"Aug 12 2021  4:39PM","Aug 12 2021  4:39PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Overpayments #2","","","","Q3 2021"
"Aug 12 2021  4:43PM","Aug 12 2021  4:43PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Overpayments #2","","","","Q3 2021"
"Aug 12 2021 11:09PM","Aug 12 2021 11:09PM","DOD","Military Pay - Department of Air Force","Overpayments #2","Establish debts on overpaid members based on management notices and customer service","Recovery Activity","Review overpayments found in PIIA and other post pay reviews to ensure debts are identified, established and tracked.","Q3 2021"
"Aug 13 2021  8:43AM","Aug 13 2021  8:43AM","FCC","Universal Service Fund - Lifeline","Overpayments #2","Post-payment audit reviews of high risk ETCs ","Recovery Activity","USAC is assessing the reason for the improper payment and will take corrective actions to prevent such improper payments from re-occurring.","Q3 2021"
"Aug 13 2021  9:38AM","Aug 13 2021  9:38AM","DOD","Commercial Pay","Overpayments #2","Self -Reported Overpayments","Recovery Activity","Continue capturing and reporting self and vendor identified improper payments. If EFT recall fails on an overpayment requiring collection, its input into DCDS and a demand letter is issued to vendor. Vendor returns funds or offset is initiated.","Q3 2021"
"Aug 13 2021 10:29AM","Aug 13 2021 10:29AM","DOD","Military Health Benefits - Healthcare","Overpayments #2","Recoupments/refunds occurring in the course of routine healthcare claims processing, healthcare claim adjustments or corrections as identified by civilian providers or TRICARE beneficiaries.","Recovery Activity","Continued recoupments occurring in the course of routine healthcare claims processing and adjustments as identified. Non-underwritten healthcare claims greater than $600, if not collected or offset, are referred to the DHA General Counsel.","Q3 2021"
"Aug 13 2021 11:27AM","Aug 13 2021 11:27AM","DOD","Military Pay - Army","Overpayments #2","Establish debts on overpaid members based on management notices and customer service","Recovery Activity","Collaborating with DFAS during the Mid-Month (MM) and End-of-Month (EOM) Leave and Earnings Statement (LES) reviews are performed to identify, track and ensure debts are created to recoup the overpayments.","Q3 2021"
"Oct 26 2022  1:18PM","Oct 26 2022  1:18PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #3","Math Errors","Recovery Activity","The IRS has been granted statutory authority to use an automated process to identify certain math or other computational irregularities and automatically adjust the return for the taxpayer.","Q4 2022"
"Aug 13 2021 11:53AM","Aug 13 2021 11:53AM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #2","ETA continues to work closely with federal law enforcement and banks/financial institutions to streamline recovery efforts and facilitate the return of UI funds.  ETA coordinated a call between states, the Office of Inspector General (OIG), and the Department of Justice (DOJ) to provide states with information on law enforcementâ€™s forfeiture and seizure efforts to recover UI funds. â€“ (June 11, 2021).","Recovery Activity","ETA will continue bi-weekly banking workgroup calls to discuss ongoing recovery efforts & improve communication between banking organizations, Federal Government agencies, & law enforcement agencies in regards to overpayment recovery.  ","Q3 2021"
"Aug 13 2021 12:56PM","Aug 13 2021 12:56PM","DOD","Military Retirement","Overpayments #2","R&A completes a systematic monthly death match review, bumping Retirees and Annuitants SSNs against the SSA death files.","Recovery Activity","The death match run provides a method of notification for deceased payees and timely suspension of pay. Any payments made after the date of death are reclaimed.","Q3 2021"
"Aug 16 2021  4:34PM","Aug 16 2021  4:34PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required.  Post refund statutory adjustments occur.","Q3 2021"
"Aug 17 2021  3:04PM","Aug 17 2021  3:05PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required.","Q3 2021"
"Aug 17 2021  5:29PM","Aug 17 2021  5:29PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required.","Q3 2021"
"Aug 18 2021  9:21AM","Aug 18 2021  9:21AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #2","Document Matching","Recovery Activity","IRS matches payer information in the Information Returns Master file with taxpayer return information in the Individual Master File to verify the taxpayer reported all income as required.","Q3 2021"
"Aug 18 2021  9:42AM","Aug 18 2021  9:42AM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Overpayments #2","A CORs review may find an data element that is incorrect which could create an overpayment. For example, an unharvested factor may not have been applied to a payment.","Recovery Audit","FSA overpayment policy is used to collect payments exceeding their eligibility.","Q3 2021"
"Jul 26 2021  4:54PM","Jul 26 2021  4:54PM","VA","Pension","Overpayments #3","","","","Q3 2021"
"Jul 26 2021  5:09PM","Jul 26 2021  5:09PM","VA","VA Community Care","Overpayments #3","","","","Q3 2021"
"Jul 28 2021 11:16AM","Jul 28 2021 11:16AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Overpayments #3","Continued development of Online Bill Pay providing debtors with a second electronic option to repay their debt.","Recovery Activity","Continue to develop additional opportunities to utilize the lockbox service providing faster processing and application of remittances.","Q3 2021"
"Jul 28 2021 11:33AM","Jul 28 2021 11:33AM","SSA","Supplemental Security Income (SSI)","Overpayments #3","Continued development of Online Bill Pay providing debtors with a second electronic option to repay their debt.","Recovery Activity","Continue to develop additional opportunities to utilize the lockbox service providing faster processing and application of remittances.","Q3 2021"
"Aug  6 2021 12:14PM","Aug  6 2021 12:14PM","OPM","Federal Retirement Services","Overpayments #3","Reclamations are recovery actions to recoup improper payments from an annuitantâ€™s financial institution. OPM utilizes the U.S. Department of Treasuryâ€™s reclamation process","Recovery Activity","Retirement Services will continue to perform the existing actions and conduct a periodic analysis.","Q3 2021"
"Apr 28 2022 10:24AM","Apr 28 2022 10:24AM","FCC","Universal Service Fund - Lifeline","Overpayments #2","Post-payment audit reviews of high risk ETCs","Recovery Activity","USAC is assessing the reason for the improper payment and will take corrective actions to prevent such improper payments from re-occurring.","Q2 2022"
"Aug 11 2021  7:49AM","Aug 11 2021  7:49AM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #3","FSA also reviews the annual Single Audit Act compliance audits of schools performed by independent auditors to evaluate schoolsâ€™ administration of FSA programs. For deficiencies identified by the auditors, schools are required to develop corrective action plans. FSA reviews and evaluates the effectiveness of schoolsâ€™ corrective actions and mitigation efforts for noted exceptions.","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from compliance audits and, if/as necessary, pursue collection.","Q3 2021"
"Aug 11 2021  8:02AM","Aug 11 2021  8:02AM","ED","Federal Pell Grant Program","Overpayments #3","FSA also reviews the annual Single Audit Act compliance audits of schools performed by independent auditors to evaluate schoolsâ€™ administration of FSA programs. For deficiencies identified by the auditors, schools are required to develop corrective action plans. FSA reviews and evaluates the effectiveness of schoolsâ€™ corrective actions and mitigation efforts for noted exceptions.","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from compliance audits and, if/as necessary, pursue collection.","Q3 2021"
"Aug 11 2021  9:36AM","Aug 11 2021  9:36AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Overpayments #3","FNS uses the FNS-209 report to capture this information.","","","Q3 2021"
"Aug 11 2021  3:30PM","Aug 11 2021  3:30PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Overpayments #3","","","","Q3 2021"
"Aug 12 2021 11:39AM","Aug 12 2021 11:39AM","SBA","504 Certified Development Loans Approvals","Overpayments #3","There is a substantial time difference between this approval date and the loan closing. SBA works extensively with the CDC to mitigate or eliminate improper payment before loan closing.
","","There is no monetary loss on loan approvals. There is a substantial time difference between this approval date and the loan closing. SBA works extensively with the CDC to mitigate or eliminate improper payment before loan closing.
","Q3 2021"
"Aug 12 2021 11:45AM","Aug 12 2021 11:45AM","SBA","7(a) Loan Guarantees Approvals","Overpayments #3","","","","Q3 2021"
"Aug 12 2021  3:48PM","Aug 12 2021  3:48PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Overpayments #3","","","","Q3 2021"
"Aug 12 2021  4:02PM","Aug 12 2021  4:02PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Overpayments #3","","","","Q3 2021"
"Aug 12 2021  4:19PM","Aug 12 2021  4:19PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Overpayments #3","","","","Q3 2021"
"Aug 12 2021  4:28PM","Aug 12 2021  4:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Overpayments #3","HHS identified a process for Recovery Audit Contractors and Medicare Administrative Contractors to resume full medical review activities which had been paused and limited because of the Public Health Emergency.","Recovery Activity","HHS believes in a comprehensive approach to prevent overpayments through proactive measures. National prior authorization programs are considered part of the overall recovery strategy, reducing or eliminating the need for recovery activities.","Q3 2021"
"Aug 12 2021  4:39PM","Aug 12 2021  4:39PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","Overpayments #3","","","","Q3 2021"
"Aug 12 2021  4:43PM","Aug 12 2021  4:43PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Overpayments #3","","","","Q3 2021"
"Aug 12 2021 11:09PM","Aug 12 2021 11:09PM","DOD","Military Pay - Department of Air Force","Overpayments #3","Ensure outstanding debts are tracked and resolved to final collections","Recovery Activity","Review outstanding suspended debt reports and metrics to ensure debts are completely collected and subsequently reported.","Q3 2021"
"Aug 13 2021  8:43AM","Aug 13 2021  8:43AM","FCC","Universal Service Fund - Lifeline","Overpayments #3","Self-reported overpayments","Recovery Activity","USAC is assessing the reason for the improper payment and will take corrective actions to prevent such improper payments from re-occurring.","Q3 2021"
"Aug 13 2021  9:38AM","Aug 13 2021  9:38AM","DOD","Commercial Pay","Overpayments #3",": DoD Implementation of PRA Plan","Recovery Activity","The Commercial Pay PRA template is a new requirement in the SoA Guidebook requiring the DoD Components to report quarterly on the actions taken on the identified overpayments. We are continuing the Department PRA Commercial pay working group.","Q3 2021"
"Aug 13 2021 10:29AM","Aug 13 2021 10:29AM","DOD","Military Health Benefits - Healthcare","Overpayments #3","Contractual requirement for TRICARE private sector regional Contractors to recoup unallowable costs.","Recovery Activity","Annual Cost of Healthcare Audit requires regional Contractors to recoup unallowable costs. Costs are extrapolated estimated overpayments to providers. Both regions submitted claim documents for initial audit of OP3 occurring in July and August 2021.","Q3 2021"
"Aug 13 2021 11:27AM","Aug 13 2021 11:27AM","DOD","Military Pay - Army","Overpayments #3","Ensure outstanding debts are tracked and resolved to final collections","Recovery Activity","Overpayments identified regardless of the origin are tracked by the Army and DFAS until the debt to the Department has been satisfied.","Q3 2021"
"Aug 13 2021 11:53AM","Aug 13 2021 11:53AM","DOL","Employment & Training Administration - Federal State Unemployment Insurance","Overpayments #3","","","","Q3 2021"
"Aug 13 2021 12:56PM","Aug 13 2021 12:56PM","DOD","Military Retirement","Overpayments #3","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","DFAS has a well-established Risk Management framework called i-Control. Specifically, Military Retirement has 29 key internal controls and 26 unique controls to ensure proper execution and or subsequent recoupment of Military Retirement payments.","Q3 2021"
"Aug 16 2021  4:34PM","Aug 16 2021  4:34PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #3","Soft Notices","Recovery Activity","IRS sends letters to alert taxpayers that a qualifying child for the EITC claimed on their returns had also been claimed by another person.Taxpayers are informed to file amended return if the credit was claimed in error or in the incorrect amount.","Q3 2021"
"Aug 17 2021  3:04PM","Aug 17 2021  3:05PM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Overpayments #3","Math Errors","Recovery Activity","The IRS has been granted statutory authority to use an automated process to identify certain math or other computational irregularities and automatically adjust the return for the taxpayer. ","Q3 2021"
"Aug 18 2021  9:21AM","Aug 18 2021  9:21AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #3","Soft Notices","Recovery Activity","IRS sends letters to alert taxpayers that a qualifying child for the ACTC claimed on their returns had also been claimed by another person. Taxpayers are informed to file amended returns if the credit was claimed in error or in the incorrect amount.","Q3 2021"
"Aug 18 2021  9:42AM","Aug 18 2021  9:42AM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Overpayments #3","A COC's approval may have not contained all loss related documents - such as insufficient information from a loss adjuster. COR may find the error, report it to DAFP, who may determine the payment should not have been approved.","Recovery Activity","FSA overpayment policy is used to collect payments exceeding their eligibility.","Q3 2021"
"Jul 26 2021  4:54PM","Jul 26 2021  4:54PM","VA","Pension","Overpayments #1","Pension uses quality reviews to identify possible duplicates and overpayments.  Pension performs quality reviews on randomly selected cases that ensure eligibility determinations, proper case processing, and payment accuracy. ","Recovery Audit","Once a debt has been established, it is referred to Debt Management Center, which pursues the collection of all debts through lump-sum offset from current or future benefit payments or by installment payments agreed upon by the debtor. ","Q3 2021"
"Jul 26 2021  5:09PM","Jul 26 2021  5:09PM","VA","VA Community Care","Overpayments #1","VACC utilizes the Financial Services Center (FSC) to provide detection, prevention, and recovery services. In FY20, VACC payments were included in the FSC review, which totaled $1.1 billion in payments and identified $19.5 million in overpayments.","Recovery Audit","Bill of Collections (BOC) are generated for overpayments of $50 or more. If no response is received from vendor after 45 days, an internal offset is processed to collect from the next issued payment until the BOC is satisfied.","Q3 2021"
"Jul 28 2021 11:16AM","Jul 28 2021 11:16AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Overpayments #1","In the development stage of Lockbox Phase II that will direct additional debtors to submit their payment to the lockbox, providing faster processing and application of remittances.","Recovery Activity","Continue development of new debt recovery and tracking system to improve the installment agreement process and integrate with outside agency collection tools (such as Treasury Offset Program, etc.).","Q3 2021"
"Jul 28 2021 11:33AM","Jul 28 2021 11:33AM","SSA","Supplemental Security Income (SSI)","Overpayments #1","In the development stage of Lockbox Phase II that will direct additional debtors to submit their payment to the lockbox, providing faster processing and application of remittances.","Recovery Activity","Continue development of new debt recovery and tracking system to improve the installment agreement process and integrate with outside agency collection tools (such as Treasury Offset Program, etc.).","Q3 2021"
"Oct 27 2022  6:05AM","Oct 27 2022  6:05AM","OPM","Federal Retirement Services","Overpayments #1","Off-roll debts are collected when the debtor is not on the annuity roll or their entitlement is insufficient to recover the debt on are a reasonable recovery schedule","Recovery Activity","Retirement Services will continue to perform the existing actions and conduct a periodic analysis.","Q4 2022"
"Aug 11 2021  7:49AM","Aug 11 2021  7:49AM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #1","ED has established an integrated system of complementary oversight functions to help detect and recover improper payments and ensure compliance by all participating parties. When an improper payment is detected and deemed collectable, FSA establishes an account receivable and pursues collection. For example: ED establishes receivables related to vendor overpayments.
","Recovery Activity","ED will continue to collect monies from vendors against the accounts receivable established and, if/as necessary, pursue collection.","Q3 2021"
"Aug 11 2021  8:02AM","Aug 11 2021  8:02AM","ED","Federal Pell Grant Program","Overpayments #1","ED has established an integrated system of complementary oversight functions to help detect and recover improper payments and ensure compliance by all participating parties. When an improper payment is detected and deemed collectable, FSA establishes an account receivable and pursues collection. For example: ED establishes receivables related to vendor overpayments.
","Recovery Activity","ED will continue to collect monies from vendors against the accounts receivable established and, if/as necessary, pursue collection.","Q3 2021"
"Aug 11 2021  9:36AM","Aug 11 2021  9:36AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Overpayments #1","FNS uses the FNS-209 report to capture this information.","","Once a quarter, FNS uses the 209 report within the SNAP program to capture all recovery activity. That information is then transmitted to the Department for inclusion into all recovery activities for the entire Agency. ","Q3 2021"
"Aug 12 2021 11:39AM","Aug 12 2021 11:39AM","SBA","504 Certified Development Loans Approvals","Overpayments #1","Obtain additional loan documentation to mitigate or eliminate improper payment.
 ","","There is no monetary loss on loan approvals. SBA will continue to obtain loan documentation to mitigate or eliminate improper payments.
","Q3 2021"
"Aug 12 2021  3:48PM","Aug 12 2021  3:48PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Overpayments #1","For overpayments identified through the error rate statistical sampling process, states worked to recover payments resulting from fraud and to the extent recoverable, those that were not the result of fraud.","Recovery Activity","States are required to recover child care payments that are the result of fraud and have discretion as to whether to recover misspent funds that were not the result of fraud, such as in cases of administrative error.","Q3 2021"
"Aug 12 2021  4:02PM","Aug 12 2021  4:02PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","Overpayments #1","As discussed in the FY 2020 Agency Financial Report, States are generally required to establish State Medicaid Recovery Audit Programs to identify overpayments to the extent possible.","Recovery Audit","As discussed in the FY 2020 Agency Financial Report, States are generally  required to establish State Medicaid Recovery Audit Programs to identify overpayments to the extent possible.","Q3 2021"
"Aug 12 2021  4:19PM","Aug 12 2021  4:19PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Overpayments #1","As discussed in the FY 2020 Agency Financial Report, States are generally required to establish State Medicaid Recovery Audit Programs to identify overpayments to the extent possible.","Recovery Audit","As discussed in the FY 2020 Agency Financial Report, States are generally required to establish State Medicaid Recovery Audit Programs to identify overpayments to the extent possible.","Q3 2021"
"Aug 12 2021  4:28PM","Aug 12 2021  4:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","Overpayments #1","HHS and the Recovery Audit Contractors review inpatient claims for medical necessity and coding purposes.","Recovery Activity","HHS and its review contractors (Medicare Administrative Contractors and Recovery Audit Contractors) complete post payment review and Targeted Probe and Educate (MACs) based on improper payment rate findings.","Q3 2021"
"Aug 12 2021  4:43PM","Aug 12 2021  4:43PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","Overpayments #1","In FY 2021 Q1 & Q2, CMS recovered approximately $8.56 million from inappropriate payments identified by the Plan Program Medicare Drug Integrity Contractor (PPI MEDIC) data analysis projects and Part D plan sponsor self-audits.","Recovery Activity","HHS will be conducting data analysis and audits to recover inappropriate payments.","Q3 2021"
"Aug 12 2021 11:09PM","Aug 12 2021 11:09PM","DOD","Military Pay - Department of Air Force","Overpayments #1","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","Review management notices and Customer Service Portal products and metrics to ensure corrective actions are taken.","Q3 2021"
"Aug 13 2021  8:43AM","Aug 13 2021  8:43AM","FCC","Universal Service Fund - Lifeline","Overpayments #1","Post-payment programmatic reviews of high risk ETCs","Recovery Activity","USAC is assessing the reason for the improper payment and will take corrective actions to prevent such improper payments from re-occurring.","Q3 2021"
"Aug 13 2021  9:38AM","Aug 13 2021  9:38AM","DOD","Commercial Pay","Overpayments #1","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","Department Components conduct contract reconciliations by comparing invoices, receiving reports, and certified payments on vouchers as well as verifying the terms of the contract have been met and are properly recorded.","Q3 2021"
"Aug 13 2021 10:29AM","Aug 13 2021 10:29AM","DOD","Military Health Benefits - Healthcare","Overpayments #1","Post payment compliance reviews identify payment errors for the purpose of reporting improper payment estimates. Private sector care Contractors are notified of payment errors for correction and to assess processes and procedures.","Recovery Activity","Continue scheduled compliance reviews conducted by EIC. Payment errors are identified and refunds made to the Government through the submission of an adjusted TED record or by direct payment.","Q3 2021"
"Aug 13 2021 11:27AM","Aug 13 2021 11:27AM","DOD","Military Pay - Army","Overpayments #1","DoD Payment Recapture Audit and Recovery Activities (PRA) Plan","Recovery Activity","DFAS provides the actual LES period of the overpayment to include processes that determined the overpayment. Army will conduct additional analysis of the overpayments validity.","Q3 2021"
"Aug 13 2021 12:56PM","Aug 13 2021 12:56PM","DOD","Military Retirement","Overpayments #1","R&A has an internal review process through the Quality Product Assurance (QPA) department consisting of random sampling reviews and pre-review of all one-time payments over $2500 and post pay sampling reviews.","Recovery Activity","The QPA review process allows to quickly identify erroneously processed overpayments. The post review process identifies errors after release, at which point the funds would be reclaimed. Most reclamations are automated through EFT recall requests.","Q3 2021"
"Aug 16 2021  4:34PM","Aug 16 2021  4:34PM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by the Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers","Q3 2021"
"Aug 17 2021  5:29PM","Aug 17 2021  5:29PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers. Taxpayers are informed to file amended returns.","Q3 2021"
"Aug 18 2021  9:21AM","Aug 18 2021  9:21AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Overpayments #1","Examination Closures","Recovery Activity","IRS conducts post refund audits selected by Dependent Database (DDb) to recapture payments that were made to ineligible taxpayers or payments in the wrong amount that were made to eligible taxpayers. Taxpayers are informed to file amended returns.","Q3 2021"
"Aug 18 2021  9:42AM","Aug 18 2021  9:42AM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Overpayments #1","RMA data may change. For example acreage may change, which could create an overpayment.","Recovery Activity","FSA overpayment policy is used to collect payments exceeding their eligibility.","Q3 2021"
"Jul 26 2021  4:54PM","Jul 26 2021  4:54PM","VA","Pension","Overpayments #2","","","","Q3 2021"
"Jul 28 2021 11:16AM","Jul 28 2021 11:16AM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Overpayments #2","We are continuing efforts on the development of a new debt management system to improve tracking and allow for more dynamic debt collection.","Recovery Activity","Implement Online Bill Pay to be able to quickly and electronically process payments initiated from the individual financial institutions' online bill payment options.","Q3 2021"
"Jul 28 2021 11:33AM","Jul 28 2021 11:33AM","SSA","Supplemental Security Income (SSI)","Overpayments #2","We are continuing efforts on the development of a new debt management system to improve tracking and allow for more dynamic debt collection.","Recovery Activity","Implement Online Bill Pay to be able to quickly and electronically process payments initiated from the individual financial institutionsâ€™ online bill payment options.","Q3 2021"
"Aug  6 2021 12:14PM","Aug  6 2021 12:14PM","OPM","Federal Retirement Services","Overpayments #2","On-roll debts are collected when OPM withholds a portion of the debtorâ€™s monthly benefits until their entire debt is collected","Recovery Activity","Retirement Services will continue to perform the existing actions and conduct a periodic analysis.","Q3 2021"
"Aug 11 2021  7:49AM","Aug 11 2021  7:49AM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #2","As part of its oversight activities, FSA performs program reviews of selected schools to confirm FSA requirements for institutional eligibility, financial responsibility, and administrative capability were met. For errors identified in performance, FSA assesses monetary liabilities that are calculated based on program review findings, and FSA identifies actions that schools must take to make whole FSA programs or recipients for any funds that were improperly managed and to prevent the same problems from recurring.","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from program reviews and, if/as necessary, pursue collection.","Q3 2021"
"Dec 10 2021  6:39AM","Dec 10 2021  6:39AM","DOD","Commercial Pay","Overpayments #2","Self -Reported Overpayments","Recovery Activity","Continue capturing and reporting self and vendor identified improper payments. If EFT recall fails on an overpayment requiring collection, its input into DCDS and a demand letter is issued to vendor. Vendor returns funds or offset is initiated.","Q4 2021"
"Aug 11 2021  9:36AM","Aug 11 2021  9:36AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Overpayments #2","FNS uses the FNS-209 report to capture this information.","","","Q3 2021"
"Aug 11 2021  3:30PM","Aug 11 2021  3:30PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Overpayments #2","AIPs are notified of any overpayments
through RMA's Compliance Activities and
Results System (CARS) in accordance with the Standard Reinsurance Agreement requirements. They are then
tracked, collected, and verified through
RMA's accounting system.","Recovery Activity","AIPs are notified of any overpayments through RMA's Compliance Activities and
Results System (CARS) in accordance with the Standard Reinsurance Agreement requirements. They are then tracked, collected, and verified through RMA's accounting system.","Q3 2021"
"Aug 12 2021 11:45AM","Aug 12 2021 11:45AM","SBA","7(a) Loan Guarantees Approvals","Overpayments #2","","","","Q3 2021"
"Dec 10 2021  7:25AM","Dec 10 2021  7:25AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","Overpayments #2","FNS uses the FNS-209 report to capture this information.","Recovery Audit","","Q4 2021"
"Dec 10 2021 12:48PM","Dec 10 2021 12:48PM","ED","William D. Ford Federal Direct Loan Program ","Overpayments #2","As part of its oversight activities, FSA performs program reviews of selected schools to confirm FSA requirements for institutional eligibility, financial responsibility, and administrative capability were met. For errors identified in performance, FSA as","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from program reviews and, if/as necessary, pursue collection.","Q4 2021"
"Dec 10 2021  1:25PM","Dec 10 2021  1:25PM","ED","Federal Pell Grant Program","Overpayments #2","As part of its oversight activities, FSA performs program reviews of selected schools to confirm FSA requirements for institutional eligibility, financial responsibility, and administrative capability were met. For errors identified in performance, FSA as","Recovery Activity","ED will continue to collect monies from schools against the accounts receivable established for assessed liabilities resulting from program reviews and, if/as necessary, pursue collection.","Q4 2021"
