"Agency","Program_Name","Fiscal_Year","Payment_Type","Program_Design_or_Structural_Issue","Inability_to_Authenticate_Eligibility","Inability_to_Authenticate_Eligibility:_Inability_to_Access_Data","Inability_to_Authenticate_Eligibility:_Data_Needed_Does_Not_Exis","Insufficient_Documentation_to_Determine","Failure_to_Access_Data","Address_Location","Contractor_or_Provider_Status","Financial"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Border Security Fencing","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2020","Overpayments","","","0.0000000000","0.0000000000","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0180000000","0.0000000000","0.0000000000","0.0180000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2020","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2021","Technically Improper","1.5270000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2020","Underpayments","","","0.0000000000","0.0000000000","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0001600000","0.0000000000","0.0000000000","0.0001600000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2020","Unknown","","","","","0.8147000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2021","Unknown","","","","","0.0181500000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2016","Overpayments","","","","","0.0100000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2015","Overpayments","0.0000000000","0.0000000000","","","0.8400000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2016","Underpayments","","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2015","Underpayments","0.0000000000","0.0000000000","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Support","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - PR and VI Programs","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2021","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2021","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2021","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2022","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2023","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2024","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2022","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2023","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2024","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2022","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2023","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2024","Technically Improper","0.0000000000","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2022","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2023","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2024","Underpayments","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2022","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2023","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2024","Unknown","","","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2016","Overpayments","","","","","10.5100000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2018","Overpayments","","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2017","Overpayments","","","","","","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2015","Overpayments","0.0000000000","0.0000000000","","","0.0000000000","","","",""
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2021","Overpayments outside agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"DHS","U.S. Customs and Border Protection (CBP) - Refund and Drawback","2021","Overpayments within agency control","","","0.0000000000","0.0000000000","","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
