"End Date","Recorded Date","Agency","Program Name","Please provide a brief 1-2 sentence high level description of yo","RootCauseNumber","RootCause","RootCauseDescription","RootCauseValue","MitigationStrategy","AnticipatedImpactMitigation","Provide a detailed description of the actions taken and planned","Quarter Year"
"Aug 13 2019  1:13PM","Aug 13 2019  1:13PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $2,955.86 million. Provider not enrolled.","","Reduce administrative or process errors made by state or local agency through state Medicaid provider enrollment tools, technical assistance and site visits for provider screening & enrollment, and training through the Medicaid Integrity Institute.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q3 2019"
"Aug 13 2019  1:13PM","Aug 13 2019  1:13PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $474.52 million. State did not process claim correctly.","","Reduce administrative or process errors made by other party through state Medicaid Recovery Audit Contractor programs, improved policy, state technical assistance workgroups, and provider, beneficiary, and other stakeholder education.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q3 2019"
"Oct 30 2019  5:18PM","Oct 30 2019  5:18PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $2,955.86 million. Provider not enrolled.","","Reduce administrative or process errors made by state or local agency through state Medicaid provider enrollment tools, technical assistance and site visits for provider screening & enrollment, and training through the Medicaid Integrity Institute.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2019"
"Apr 19 2019  2:53PM","Apr 19 2019  2:53PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $2,955.86 million. Provider not enrolled.","","Reduce administrative or process errors made by state or local agency through state Medicaid provider enrollment tools, technical assistance and site visits for provider screening & enrollment, and training through the Medicaid Integrity Institute.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q2 2019"
"Apr 19 2019  2:53PM","Apr 19 2019  2:53PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $474.52 million. State did not process claim correctly.","","Reduce administrative or process errors made by other party through state Medicaid Recovery Audit Contractor programs, improved policy, state technical assistance workgroup, and provider, beneficiary, and other stakeholder education.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q2 2019"
"Aug 13 2020 11:56AM","Aug 13 2020 11:56AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.
","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party (i.e., participating lender, health care provider, or any other organization administering Federal dollars) resulted in overpayments of $288.56 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.
","","Q3 2020"
"Dec 10 2020  1:34PM","Dec 10 2020  1:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party (i.e., participating lender, health care provider, or any other organization administering Federal dollars) resulted in overpayments of $288.56 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2020"
"Feb  7 2020  2:40PM","Feb  7 2020  2:40PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party (i.e., participating lender, health care provider, or any other organization administering Federal dollars) resulted in overpayments of $288.56 million.","","Work with states to develop corrective action plans; provide state Medicaid provider enrollment tools, technical assistance, and training; conduct site visits for provider screening & enrollment; and conduct beneficiary eligibility audits & reviews.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2020"
"Aug 13 2020 11:56AM","Aug 13 2020 11:56AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.
","Please choose Root Cause 2.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $5,071.94 million.
","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.
","","Q3 2020"
"Feb  7 2020  2:40PM","Feb  7 2020  2:40PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $5,071.94 million.","","Work with states to develop corrective action plans; provide state Medicaid provider enrollment tools, technical assistance, and training; conduct site visits for provider screening & enrollment; and conduct beneficiary eligibility audits & reviews.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2020"
"Dec 10 2020  1:34PM","Dec 10 2020  1:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $5,071.94 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2020"
"Feb  7 2020  2:40PM","Feb  7 2020  2:40PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $7,093.01 million.","","Work with states to develop corrective action plans; provide state Medicaid provider enrollment tools, technical assistance, and training; conduct site visits for provider screening & enrollment; and conduct beneficiary eligibility audits & reviews.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2020"
"Aug 13 2020 11:56AM","Aug 13 2020 11:56AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.
","Please choose Root Cause 1.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $7,093.01 million.
","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.
","","Q3 2020"
"Dec 10 2020  1:34PM","Dec 10 2020  1:34PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $7,093.01 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2020"
"Feb 12 2021  4:15PM","Feb 12 2021  4:16PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party resulted in overpayments of $305.55 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2021"
"Dec 10 2021  1:47PM","Dec 10 2021  1:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party resulted in overpayments of $305.55 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2021"
"Aug 12 2021  4:19PM","Aug 12 2021  4:19PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party resulted in overpayments of $305.55 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q3 2021"
"Apr 16 2021  2:28PM","Apr 16 2021  2:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","Administrative or process errors made by: others (participating lender, health care provider, or other organization administering Federal dollars)","Administrative or Process Errors Made by: Other Party resulted in overpayments of $305.55 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q2 2021"
"Aug 12 2021  4:19PM","Aug 12 2021  4:19PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $821.87 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q3 2021"
"Apr 16 2021  2:28PM","Apr 16 2021  2:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $821.87 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q2 2021"
"Dec 10 2021  1:47PM","Dec 10 2021  1:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $821.87 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2021"
"Feb 12 2021  4:15PM","Feb 12 2021  4:16PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Administrative or process errors made by: state or local agency","Administrative or Process Errors Made by: State or Local Agency resulted in overpayments of $821.87 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2021"
"Feb 12 2021  4:15PM","Feb 12 2021  4:16PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $410.69 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2021"
"Aug 12 2021  4:19PM","Aug 12 2021  4:19PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $410.69 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q3 2021"
"Dec 10 2021  1:47PM","Dec 10 2021  1:47PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $410.69 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q4 2021"
"Apr 16 2021  2:28PM","Apr 16 2021  2:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","Inability to authenticate eligibility: inability to access data","Inability to Authenticate Eligibility: Inability to Access Data resulted in overpayments of $410.69 million.","","Training","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q2 2021"
"Oct 28 2022  9:54AM","Oct 28 2022  9:54AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q4 2022"
"Apr 28 2022  2:55PM","Apr 28 2022  2:55PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q2 2022"
"Jan 28 2022  4:26PM","Jan 28 2022  4:26PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q1 2022"
"Jul 28 2022  6:48PM","Jul 28 2022  6:48PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","","Q3 2022"
"Jan 28 2022  4:26PM","Jan 28 2022  4:26PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q1 2022"
"Apr 28 2022  2:55PM","Apr 28 2022  2:55PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q2 2022"
"Oct 28 2022  9:54AM","Oct 28 2022  9:54AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q4 2022"
"Jul 28 2022  6:48PM","Jul 28 2022  6:48PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","","Q3 2022"
"Oct 28 2022  9:54AM","Oct 28 2022  9:54AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Overpayments outside the agency control that occurred because of a Failure to Access Data/Information Needed.","The primary cause of Medicaid improper payments is insufficient documentation from states, mostly related to eligibility redetermination and verification, as well as provider screening, revalidation, and NPI requirements.","","Training - teaching a particular skill or type of behavior; refreshing on the proper processing methods.","Work with states to develop corrective action plans; provide state Medicaid provider enrollment tools, technical assistance, and training; conduct site visits for provider screening & enrollment; and conduct beneficiary eligibility audits & reviews.","","Q4 2022"
"Apr 28 2022  2:55PM","Apr 28 2022  2:55PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Overpayments outside the agency control that occurred because of a Failure to Access Data/Information Needed.","The primary cause of Medicaid improper payments is insufficient documentation from states, mostly related to eligibility redetermination and verification, as well as provider screening, revalidation, and NPI requirements.","","Training – teaching a particular skill or type of behavior; refreshing on the proper processing methods.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q2 2022"
"Jan 28 2022  4:26PM","Jan 28 2022  4:26PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Overpayments outside the agency control that occurred because of a Failure to Access Data/Information Needed.","The primary cause of Medicaid improper payments is insufficient documentation from states, mostly related to eligibility redetermination and verification, as well as provider screening, revalidation, and NPI requirements.","","Training â€“ teaching a particular skill or type of behavior; refreshing on the proper processing methods.","HHS takes a holistic approach to develop corrective actions from various perspectives. Impact on the improper payment rate may not be realized for several years, and implementing new/revised policies may also result in a slight increase in rates.","","Q1 2022"
"Jul 28 2022  6:48PM","Jul 28 2022  6:48PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and individuals of all ages with disabilities.","Please choose Root Cause 1.","Overpayments outside the agency control that occurred because of a Failure to Access Data/Information Needed.","The primary cause of Medicaid improper payments is insufficient documentation from states, mostly related to eligibility redetermination and verification, as well as provider screening, revalidation, and NPI requirements.","","Training – teaching a particular skill or type of behavior; refreshing on the proper processing methods.","Work with states to develop corrective action plans; provide state Medicaid provider enrollment tools, technical assistance, and training; conduct site visits for provider screening & enrollment; and conduct beneficiary eligibility audits & reviews.","","Q3 2022"
"Apr 28 2023 10:55AM","Apr 28 2023 10:55AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and disabled individuals. Overpayments occur because: providers are not properly screened by the state; providers are not properly rescreened at revalidation; providers are not enrolled; the National Provider Identifier (NPI) is not on the claim; a beneficiary is enrolled when ineligible; a beneficiary is determined to be eligible for the incorrect eligibility category; beneficiary redeterminations are not conducted in a timely manner; sufficient documentation is not provided to support eligibility determinations.","Please choose Root Cause 2.","My program does not have a second root cause","","","","","In Quarter 2, CMS continued conducting audits of beneficiary eligibility determinations in high-risk states. Unified Program Integrity Contractors also continued to conduct audits and investigations to reduce fraud, waste, and abuse in Medicaid. In Quarter 3, CMS plans to roll out Medicaid-only provider screening to states. Additionally, CMS will continue to monitor Corrective Action Plan submissions, and will follow up with all states on their progress in implementing effective corrective actions.","Q2 2023"
"Apr 28 2023 10:55AM","Apr 28 2023 10:55AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and disabled individuals. Overpayments occur because: providers are not properly screened by the state; providers are not properly rescreened at revalidation; providers are not enrolled; the National Provider Identifier (NPI) is not on the claim; a beneficiary is enrolled when ineligible; a beneficiary is determined to be eligible for the incorrect eligibility category; beneficiary redeterminations are not conducted in a timely manner; sufficient documentation is not provided to support eligibility determinations.","Please choose Root Cause 3.","My program does not have a third root cause","","","","","In Quarter 2, CMS continued conducting audits of beneficiary eligibility determinations in high-risk states. Unified Program Integrity Contractors also continued to conduct audits and investigations to reduce fraud, waste, and abuse in Medicaid. In Quarter 3, CMS plans to roll out Medicaid-only provider screening to states. Additionally, CMS will continue to monitor Corrective Action Plan submissions, and will follow up with all states on their progress in implementing effective corrective actions.","Q2 2023"
"Apr 28 2023 10:55AM","Apr 28 2023 10:55AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS in partnership with the states, which provides health insurance to qualifying low-income individuals and long-term care services to seniors and disabled individuals. Overpayments occur because: providers are not properly screened by the state; providers are not properly rescreened at revalidation; providers are not enrolled; the National Provider Identifier (NPI) is not on the claim; a beneficiary is enrolled when ineligible; a beneficiary is determined to be eligible for the incorrect eligibility category; beneficiary redeterminations are not conducted in a timely manner; sufficient documentation is not provided to support eligibility determinations.","Please choose Root Cause 1.","Overpayments outside the agency control that occurred because of a Failure to Access Data/Information Needed.","The primary causes of Medicaid improper payments are insufficient documentation from states (mostly related to eligibility redetermination/verification and medical services) and lack of provider enrollment screening and revalidations determinations.","","Training – teaching a particular skill or type of behavior; refreshing on the proper processing methods.","Assist states with upgrading provider enrollment system; provide state Medicaid provider enrollment tools, technical assistance, and training to improve medical documentation; and conduct site visits for provider screening & enrollment.","In Quarter 2, CMS continued conducting audits of beneficiary eligibility determinations in high-risk states. Unified Program Integrity Contractors also continued to conduct audits and investigations to reduce fraud, waste, and abuse in Medicaid. In Quarter 3, CMS plans to roll out Medicaid-only provider screening to states. Additionally, CMS will continue to monitor Corrective Action Plan submissions, and will follow up with all states on their progress in implementing effective corrective actions.","Q2 2023"
"Aug  7 2023 11:27AM","Aug  7 2023 11:27AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Medicaid is a joint federal/state program, administered by HHS, that provides health insurance to eligible low-income individuals and long-term care services to seniors and disabled individuals. Overpayments occur because: providers are not properly screened by the state or not enrolled; the National Provider Identifier is not on the claim; a beneficiary is enrolled when ineligible or determined to be eligible for the incorrect eligibility category; beneficiary redeterminations are not conducted in a timely manner; sufficient documentation is not provided to support eligibility determinations. Barriers to prevention include: high state employee turnover, lack of state employee training, and insufficient eligibility edits.","Please choose Root Cause 3.","Overpayments outside the agency control that occurred because of a Failure to Access Data/Information Needed.","The primary causes of Medicaid improper payments are insufficient documentation from states (mostly related to eligibility redetermination/verification and medical services) and lack of provider enrollment screening and revalidations determinations.","","Audit - process for assuring an organization's objectives of operational effectiveness, efficiency, reliable financial reporting, and compliance with laws, regulations, and policies.","Conduct site visits for provider screening & enrollment to ensure payments are not made to providers who are improperly enrolled.","In Quarter 3, CMS continued conducting audits of Medicaid beneficiary eligibility determinations in high-risk states. Unified Program Integrity Contractors also continued to conduct audits and investigations to reduce fraud, waste, and abuse in Medicaid. In Quarter 4, CMS will begin conducting unwinding audits of eligibility determinations to ensure states are in compliance with federal requirements. CMS plans to roll out Medicaid-only provider screening to states. Additionally, CMS will continue to monitor Corrective Action Plan submissions and will follow up with all states on their progress in implementing effective corrective actions.","Q3 2023"
