"End Date","Recorded Date","Agency","Program Name","Accomplishment","AccomplishmentDate","Quarter Year"
"Apr  8 2021 10:18AM","Apr  8 2021 10:18AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Software Developer Working Group (SDWG) â€“  Continued partnership with key software associations. The second quarter SDWG meeting was held to discuss concerns in the preparer community related to computing EITC based on prior year earned income.","Mar  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:31AM","Apr  8 2021 10:31AM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Software Developer Working Group (SDWG) â€“ Continued partnership with key tax software associations. The 2nd quarter SDWG meeting was held to discuss concerns in the preparer community related to refundable credits and return preparer due diligence.","Mar  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:40AM","Apr  8 2021 10:40AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Software Developer Working Group (SDWG)  â€“ Continued partnership with key tax software associations. The 2nd quarter SDWG meeting was held to discuss concerns in the preparer community related to refundable credits and return preparer due diligence.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021 11:00AM","Apr 13 2021 11:00AM","OPM","Federal Retirement Services","Completed Over 100 Project","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021  3:15PM","Apr 13 2021  3:15PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","In FY 2019, we developed requirements and awarded a contract to Equifax to build an information exchange for monthly WEI from third-party payroll data providers.  We implemented systems release for preparation of the information exchange.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021  3:32PM","Apr 13 2021  3:32PM","SSA","Supplemental Security Income (SSI)","In FY 2019, we developed requirements and awarded a contract to Equifax to build an information exchange for monthly WEI from third-party payroll data providers.  We implemented systems release for preparation of the information exchange.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 14 2021  4:43PM","Apr 14 2021  4:43PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Attended Payment Integrity Kickoff Meeting.","Dec  1 2020 12:00AM","Q2 2021"
"Apr 15 2021 10:39AM","Apr 15 2021 10:39AM","VA","VA Community Care","Created self service portal for Centralized Authorized Emergency Care (CAEC) process.","Nov  1 2020 12:00AM","Q2 2021"
"Apr 15 2021  3:51PM","Apr 15 2021  3:51PM","ED","Federal Pell Grant Program","FSA  held the 2020 (Virtual) Federal Student Aid Conference for Financial Aid Professionals.","Dec  1 2020 12:00AM","Q2 2021"
"Apr 15 2021  4:26PM","Apr 15 2021  4:26PM","ED","William D. Ford Federal Direct Loan Program ","FSA  held the 2020 (Virtual) Federal Student Aid Conference for Financial Aid Professionals.
","Dec  1 2020 12:00AM","Q2 2021"
"Apr 16 2021 12:03AM","Apr 16 2021 12:03AM","DOD","Military Health Benefits - Healthcare","TRICARE private sector regional Contractor deployed Sprints 38, 39, and 40, which delivered 20 system updates to identified issues in claims processing.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021 12:54AM","Apr 16 2021 12:54AM","DOD","Military Retirement","Cost Refund training completed March 2021 to continue successful implementation of Phase 1 of SBP/DIC offset.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  1:23AM","Apr 16 2021  1:23AM","DOD","Commercial Pay","Improved MOCAS duplicate payment detection in Advana Improper Payments by enhancing an existing Integrity Check and implementing a new Integrity Check.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  8:29AM","Apr 16 2021  8:29AM","VA","Pension","Conducted fourteen quality and oversight reviews over the last six months to ensure policy and procedures are being met and to identify any trends in errors. ","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  2:09PM","Apr 16 2021  2:09PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","HHS continued to implement a robust corrective action plan process that provides enhanced technical assistance and guidance to states. HHS worked with states to develop corrective action plans addressing each error and deficiency identified.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  2:28PM","Apr 16 2021  2:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","HHS continued to implement a robust corrective action plan process that provides enhanced technical assistance and guidance to states. HHS worked with states to develop corrective action plans addressing each error and deficiency identified.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:01PM","Apr 16 2021  3:01PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","HHS continued implementing processes to begin the prior authorization of 2 additional services (cervical fusion with disc removal and implanted spinal neurostimulators) and requirements for certain hospital outpatient services in July 2021.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:32PM","Apr 16 2021  3:32PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","As of end of March 2021, HHS reviewed 90 percent of medical records submitted by plans for Contract-level RADV Audit for payment year 2014. ","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:38PM","Apr 16 2021  3:38PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","HHS is kicking off the 2021 Part D data analysis and audits that include 5 self-audits, 5 desk audits and 3 PI audits.  ","Mar  1 2021 12:00AM","Q2 2021"
"Apr 22 2021  1:39PM","Apr 22 2021  1:39PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Program signup has completed.","Nov  1 2020 12:00AM","Q2 2021"
"Apr 23 2021 12:51PM","Apr 23 2021 12:51PM","SBA","504 Certified Development Loans Approvals","Identification of tolerable Improper Payment Rate for 504 Loan Program Approvals of 2.04 percent.","Sep  1 2020 12:00AM","Q2 2021"
"Apr 23 2021  1:06PM","Apr 23 2021  1:06PM","SBA","7(a) Loan Guarantees Approvals","Identification of tolerable Improper Payment Rate for 7(a) Loan Program Approvals of 2.05 percent.","Sep  1 2020 12:00AM","Q2 2021"
"Apr 29 2021  9:26AM","Apr 29 2021  9:26AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","FNS conducts quarterly payment accuracy reviews across the agency to share best practices and lessons learned. FNS completed the first quarter review for FY 2021.","Dec  1 2020 12:00AM","Q2 2021"
"Apr  8 2021 10:18AM","Apr  8 2021 10:18AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Preparer Due Diligence Webinar â€“ The IRS delivered its â€œKeys to Mastering Due Diligence Requirements and Auditsâ€ webinar, which included guidance to help understand eligibility rules for the refundable credits, including the EITC.  ","Feb  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:31AM","Apr  8 2021 10:31AM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Preparer Due Diligence Webinar â€“ The IRS delivered its â€œKeys to Mastering Due Diligence Requirements and Auditsâ€ webinar, which included guidance to help understand eligibility rules for the refundable credits, including the AOTC.  ","Feb  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:40AM","Apr  8 2021 10:40AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Preparer Due Diligence Webinar â€“ The IRS delivered its â€œKeys to Mastering Due Diligence Requirements and Auditsâ€ webinar, which included guidance to help understand eligibility rules for the refundable credits, including the ACTC.  ","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021 11:00AM","Apr 13 2021 11:00AM","OPM","Federal Retirement Services","FERS Annuity Supplement Earnings Survey Completed","Mar  1 2021 12:00AM","Q2 2021"
"Apr 13 2021  3:15PM","Apr 13 2021  3:15PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Pay.gov went live and became available to the public.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021  3:32PM","Apr 13 2021  3:32PM","SSA","Supplemental Security Income (SSI)","Pay.gov went live and became available to the public.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 14 2021  4:43PM","Apr 14 2021  4:43PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Attended entrance conference for USDA's OIG Improper Payment Audit.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 15 2021 10:39AM","Apr 15 2021 10:39AM","VA","VA Community Care","Identified improper payments with incorrect vendor billing errors and coordinated with Tri-West to obtain corrective action plans for remediation.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 15 2021  3:51PM","Apr 15 2021  3:51PM","ED","Federal Pell Grant Program","FSA  issued additional guidance to address the continued challenges that schools and their students face due to the COVID-19 pandemic.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 15 2021  4:26PM","Apr 15 2021  4:26PM","ED","William D. Ford Federal Direct Loan Program ","FSA  issued additional guidance to address the continued challenges that schools and their students face due to the COVID-19 pandemic.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021 12:03AM","Apr 16 2021 12:03AM","DOD","Military Health Benefits - Healthcare","Due to actions taken by the Contractor, error rates progressively reduced below contractual standard for Q1, Q2, Q3 and Q4 of FY19. Q1 and Q2 of FY20 error rates are also well below the contractual standard of 1.75% at 0.81% and 0.56% respectively.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021 12:54AM","Apr 16 2021 12:54AM","DOD","Military Retirement","","","Q2 2021"
"Apr 16 2021  1:23AM","Apr 16 2021  1:23AM","DOD","Commercial Pay","Implemented an Executive Dashboard in Advana Improper Payments that provides management with a summary level view of their siteâ€™s improper payment data for use in decision making.","Feb  1 2021 12:00AM","Q2 2021"
"Jan 28 2022  5:20PM","Jan 28 2022  5:20PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","FNS awarded 50 State agencies $37M in non-competitive Technology Innovation Grants. These awards support technology maintenance/improvements to enhance program integrity, and leverage other efficiencies in administration and delivery of CN Programs.","Sep  1 2021 12:00AM","Q1 2022"
"Apr 16 2021  8:29AM","Apr 16 2021  8:29AM","VA","Pension","Training released addressing medical expenses to ensure processes are align with Pension's policies and procedures.","Feb  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  9:25AM","Apr 16 2021  9:25AM","FCC","Universal Service Fund - Lifeline","Began locking carrier agents who have been submitting potentially inauthentic or fabricated documentation out of Lifeline systems using Lifelineâ€™s Representative Accountability Database (RAD).","Dec  1 2020 12:00AM","Q2 2021"
"Apr 16 2021  1:47PM","Apr 16 2021  1:47PM","DOD","Military Pay - Department of Air Force","","","Q2 2021"
"Apr 16 2021  1:51PM","Apr 16 2021  1:51PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Grantees received CCDF Program Integrity training and technical assistance targeting individual support for each required component of the methodology.","Dec  1 2020 12:00AM","Q2 2021"
"Apr 16 2021  2:06PM","Apr 16 2021  2:06PM","DOD","Military Pay - Army","","","Q2 2021"
"Apr 16 2021  2:09PM","Apr 16 2021  2:09PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","HHS visited Colorado, Oklahoma, and Wyoming during FY 2020 to assess provider screening and enrollment compliance, provide technical assistance, and offer states the opportunity to leverage Medicare screening and enrollment activities.","Nov  1 2020 12:00AM","Q2 2021"
"Apr 16 2021  2:28PM","Apr 16 2021  2:28PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","HHS monitors Medicaid-only providers for any new alerts after initial screening and offers a data compare service to states. This allows states to remove dually enrolled providers from their revalidation. In FY 2020, 9 states utilized this service.","Nov  1 2020 12:00AM","Q2 2021"
"Apr 16 2021  3:01PM","Apr 16 2021  3:01PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","HHS continued Recovery Audit Contractor review and Medicare Administrative Contractor post payment review of claims based on data analysis and the CERT findings.","Mar  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:32PM","Apr 16 2021  3:32PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","HHS conducted a COVID-19 Fraud, Waste, and Abuse Training Webinar with MA and Part D plans in February 2021.","Feb  1 2021 12:00AM","Q2 2021"
"Apr 16 2021  3:38PM","Apr 16 2021  3:38PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","HHS conducted a COVID-19 Fraud, Waste, and Abuse Training Webinar with MA and Part D plans in February 2021.","Feb  1 2021 12:00AM","Q2 2021"
"Apr 22 2021  1:39PM","Apr 22 2021  1:39PM","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP)","Payments have been signed/certified.","Nov  1 2020 12:00AM","Q2 2021"
"Apr 23 2021 12:51PM","Apr 23 2021 12:51PM","SBA","504 Certified Development Loans Approvals","Developed Corrective Action Plan for 504 Loan Program Approval Center
","Sep  1 2020 12:00AM","Q2 2021"
"Apr 23 2021  1:06PM","Apr 23 2021  1:06PM","SBA","7(a) Loan Guarantees Approvals","Developed Corrective Action Plan for 7(a) Loan Program Approval Centers","Sep  1 2020 12:00AM","Q2 2021"
"Apr 29 2021  9:26AM","Apr 29 2021  9:26AM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","An opportunity announcement for States to apply to participate in the grant opportunity to study the use of third party payroll verification sources was announced in March 2021. FNS expects to select States in the 4th Quarter of FY 2021.","Mar  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:18AM","Apr  8 2021 10:18AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","EITC Awareness Day â€“ The IRS partnered with key stakeholders to hold its annual EITC Awareness Day, a nationwide effort to increase awareness about the EITC and other refundable credits.","Jan  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:31AM","Apr  8 2021 10:31AM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","EITC Awareness Day â€“ Partnered with key stakeholders to hold its annual EITC Awareness Day, a nationwide effort to increase awareness about the EITC and other refundable credits. This year, the IRS provided information on eligibility for AOTC.","Jan  1 2021 12:00AM","Q2 2021"
"Apr  8 2021 10:40AM","Apr  8 2021 10:40AM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","EITC Awareness Day â€“ Partnered with key stakeholders to hold its annual EITC Awareness Day, a nationwide effort to increase awareness about the EITC and other refundable credits. This year, the IRS provided information on ACTC eligibility. ","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021 11:00AM","Apr 13 2021 11:00AM","OPM","Federal Retirement Services","Adjudication of DNP file completed","Mar  1 2021 12:00AM","Q2 2021"
"Apr 13 2021  3:15PM","Apr 13 2021  3:15PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","Implemented Lockbox Services offered by Fiscal Service.  This service provides faster processing and application of remittances.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 13 2021  3:32PM","Apr 13 2021  3:32PM","SSA","Supplemental Security Income (SSI)","Implemented Lockbox Services offered by Fiscal Service.  This service provides faster processing and application of remittances.","Jan  1 2021 12:00AM","Q2 2021"
"Apr 14 2021  4:43PM","Apr 14 2021  4:43PM","USDA","Risk Management Agency (RMA) Federal Crop Insurance Corporation (FCIC)","Attended RMA-CAP status meeting. ","Jan  1 2021 12:00AM","Q2 2021"
"Apr 15 2021 10:39AM","Apr 15 2021 10:39AM","VA","VA Community Care","","","Q2 2021"
"Jul 27 2020  9:26AM","Jul 27 2020  9:26AM","DOT","Federal Highway Administration Highway Planning and Construction","Completed and distributed improper payment risk catalog to FHWA field offices.","Jun  1 2019 12:00AM","Q3 2020"
"Jul 30 2020 10:47AM","Jul 30 2020 10:47AM","VA","Purchased Long Term Services and Supports","Completed Standard Episode of Care (SEOC) training and have trained over 1,700 participants.","Jun  1 2020 12:00AM","Q3 2020"
"Jul 30 2020 11:10AM","Jul 30 2020 11:10AM","VA","VA Community Care","Updated logic in eCAMs so processing times for payment can be reduced, if they have preapproved codes. This will increase the rate of auto adjudicated claims. ","Jun  1 2020 12:00AM","Q3 2020"
"Jul 30 2020 11:25AM","Jul 30 2020 11:25AM","VA","Pension","P&F Service and the Office of Business Process Integration (OBPI) developed requirements and deployed the automation of Dependency Indemnity Compensation (DIC) claims at the ready for decision (RFD) stage, and Service Connected (S/C) Burial claims.  ","Apr  1 2020 12:00AM","Q3 2020"
"Aug 11 2020  6:17AM","Aug 11 2020  6:17AM","USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","Completed national ARC/PLC training.","Sep  1 2019 12:00AM","Q3 2020"
"Aug 12 2020  3:15PM","Aug 12 2020  3:15PM","FCC","Universal Service Fund - Lifeline","Hard launched the last of the 53 NLAD states and territories into the National Verifier.  New eligibility decisions in all states (except the three NLAD opt-out states) now go through the National Verifier eligibility review process. ","Jun  1 2020 12:00AM","Q3 2020"
"Aug 12 2020  3:30PM","Aug 12 2020  3:30PM","FCC","Universal Service Fund - Schools and Libraries","Developing the preliminary business requirements that will be the basis for an RFP seeking development of the Bidder’s Portal. ","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020 11:56AM","Aug 13 2020 11:56AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","Continued state site visits to assess provider screening & enrollment compliance and provide technical assistance. Pilots in Missouri and Iowa are ongoing and CMS has also expanded the pilot to other states. 
","Jul  1 2019 12:00AM","Q3 2020"
"Aug 13 2020 12:16PM","Aug 13 2020 12:16PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Continued Joint Case Reviews with several states reporting in 2020 on the FY19 review period, which provide oversight of the IP methodology, assist in identifying areas for improvement, and allow grantees to self-identify areas needing correction.
","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020 12:27PM","Aug 13 2020 12:27PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","CMS finalized a policy to decrease the upfront, split-percentage payment for 30-day periods of care to 20 percent for existing home health agencies (HHAs), and to lower payments to zero for all 30-day periods of care beginning on January 1, 2021. 
","Jan  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  1:10PM","Aug 13 2020  1:10PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","CMS provided all 50 states and DC with access to the Death Master File (DMF) via the CMS Data Exchange (DEX). All states and DC have accessed DMF. CMS has also expanded search capabilities of DMF data, allowing states to complete a bulk search.
","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  1:22PM","Aug 13 2020  1:22PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","HHS launched the payment year 2015 RADV audit in early 2020 to reduce the cost of operating the audit by $200-300 million per year by Fall 2021. 
","Apr  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  1:37PM","Aug 13 2020  1:37PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","HHS conducted two Medicare Advantage Organization and Prescription Drug Plan Fraud, Waste, and Abuse Training Webinars (January 2020 and July 2020); an FWA COVID 19 Webinar (April 20); and two Opioid Education Missions (October 2019 and March 2020).
","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  4:17PM","Aug 13 2020  4:17PM","ED","William D. Ford Federal Direct Loan Program ","FSA implemented of an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","Jun  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  4:42PM","Aug 13 2020  4:42PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","In January 2020, FNS released the SNAP Keys to Payment Accuracy. These Keys highlight best practices and provides strategies and opportunities enabling State agencies to improve and maintain the accuracy of SNAP payments. ","Jan  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  5:02PM","Aug 13 2020  5:02PM","ED","Federal Pell Grant Program","FSA implemented of an improved model for selecting FAFSA applicants for income verification, beginning with the 2020 FAFSA application cycle.","Jun  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  5:07PM","Aug 13 2020  5:07PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","Conducted debriefing sessions with the 3 state agencies that connected their state data collection systems (for the NSLP and SBP eligibility verification process) to USDA’s data validation service. ","Jan  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  7:55PM","Aug 13 2020  7:55PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","Conducted debriefing sessions with the 3 state agencies that connected their state data collection systems (for the NSLP and SBP eligibility verification process) to USDA’s data validation service. ","Jan  1 2020 12:00AM","Q3 2020"
"Aug 14 2020 10:11AM","Aug 14 2020 10:11AM","DOD","Military Pay","The Military Services (i.e., Navy and Air Force) developed a Military Pay key supporting documentation (KSD) matrix that was distributed to all stakeholders to assist with the post payment review process. ","Jan  1 2020 12:00AM","Q3 2020"
"Aug 14 2020 10:23AM","Aug 14 2020 10:23AM","DOD","Military Retirement","Implemented system changes to reduce improper payments of retired and annuity cases which have resulted in continuous improvement with the improper payment rates in recent months. ","Jun  1 2020 12:00AM","Q3 2020"
"Aug 14 2020  2:12PM","Aug 14 2020  2:12PM","SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","We completed refresher training on using myWageReport and provided a desk guide of step-by-step instructions to technicians.","Mar  1 2020 12:00AM","Q3 2020"
"Aug 14 2020  2:54PM","Aug 14 2020  2:54PM","SSA","Supplemental Security Income (SSI)","We estimate the reduction in SSI improper payments over FYs 2018-2027 will be $155 million by using the non-home real property (NHRP) match system.  Additionally, we estimated the ROI of completed NHRP matches in FY 2018 to be 19 to 1.  ","Jun  1 2020 12:00AM","Q3 2020"
"Aug 14 2020  3:23PM","Aug 14 2020  3:23PM","TREASURY","Internal Revenue Service - Additional Child Tax Credit","Base Enforcement Efforts for refundable tax credit programs including ACTC: 256,768 audits, 316,602 misreported income cases, and an estimated 138,500 math error adjustments, protecting revenue of over $2.4 billion.","Jul  1 2020 12:00AM","Q3 2020"
"Aug 24 2020 11:20AM","Aug 24 2020 11:20AM","TREASURY","Internal Revenue Service - Earned Income Tax Credit","Base Enforcement Efforts: Delivered key compliance activities for EITC program. Efforts include 256,768 audits, 316,602 misreported income cases, and an estimated 138,500 math error adjustments, protecting revenue of over $2.4 billion.","Jul  1 2020 12:00AM","Q3 2020"
"Aug 24 2020 11:58AM","Aug 24 2020 11:59AM","TREASURY","Internal Revenue Service - American Opportunity Tax Credit","Base Enforcement Efforts:Compliance activities for refundable tax credit programs, including AOTC. Efforts include 256,768 audits, 316,602 misreported income cases, and estimated 138,500 math error adjustments, protecting revenue of over $2.4 billion","Jul  1 2020 12:00AM","Q3 2020"
"Jul 27 2020  9:26AM","Jul 27 2020  9:26AM","DOT","Federal Highway Administration Highway Planning and Construction","Updated and distributed guidance to FHWA field offices on reducing improper payments with State partners.","Jul  1 2019 12:00AM","Q3 2020"
"Jul 30 2020 10:47AM","Jul 30 2020 10:47AM","VA","Purchased Long Term Services and Supports","Issue addendum Memo to use Veteran Care Agreement (VCA) template and informs provider of VA fee schedule.","Jan  1 2020 12:00AM","Q3 2020"
"Jul 30 2020 11:10AM","Jul 30 2020 11:10AM","VA","VA Community Care","Completion of eCAMS Guidebook will provide the field with a resource to properly utilize the eCAMs tool. This will be used for new-hires and existing staff to educate them on the proper utilization of eCAMs.","Mar  1 2020 12:00AM","Q3 2020"
"Jul 30 2020 11:25AM","Jul 30 2020 11:25AM","VA","Pension","P&F Service completed 60 updates to the procedures manual to help reduce the occurrences of processing errors, by adding additional procedures and updated existing procedures that simplified specific procedures were processing errors was occurring. ","Jan  1 2020 12:00AM","Q3 2020"
"Aug 11 2020  6:17AM","Aug 11 2020  6:17AM","USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","Issued IA-3 detailing improper payments identified from previous fiscal year.","Jan  1 2020 12:00AM","Q3 2020"
"Aug 12 2020 11:52AM","Aug 12 2020 11:52AM","DOD","Military Health Benefits - Healthcare","Due to the actions taken by the Contractor, the error rate progressively reduced below contractual standard for Q1, Q2 and Q3 of FY19.","May  1 2020 12:00AM","Q3 2020"
"Aug 12 2020  3:15PM","Aug 12 2020  3:15PM","FCC","Universal Service Fund - Lifeline","Implemented additional state and territory connections, bringing the automated program eligibility connections in the National Verifier up to two federal and 18 state/territory connections. ","Jul  1 2020 12:00AM","Q3 2020"
"Aug 12 2020  3:30PM","Aug 12 2020  3:30PM","FCC","Universal Service Fund - Schools and Libraries","","","Q3 2020"
"Aug 13 2020 11:56AM","Aug 13 2020 11:56AM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","In FY 2019, HHS began a state-specific PERM Corrective Action Plan (CAP) process to provide guidance to states on addressing findings identified through PERM reviews.  HHS is working with FY17 (Cycle 3) and FY19 (Cycle 1) states to develop CAPs.
","Dec  1 2019 12:00AM","Q3 2020"
"Aug 13 2020 12:16PM","Aug 13 2020 12:16PM","HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","Grantees received CCDF Program Integrity training and technical assistance targeting individual support for each required component of the methodology.","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020 12:27PM","Aug 13 2020 12:27PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","The  Review Choice Demonstration for Home Health Services began in Texas, North Carolina, and Florida.  The demonstration gives providers the choice of a pre-claim review or post-payment review with the goal of reducing burden and improper payments.
","Mar  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  1:10PM","Aug 13 2020  1:10PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","In FY 2019, HHS began a state-specific PERM Corrective Action Plan (CAP) process to provide guidance to states on addressing findings identified through PERM reviews.  HHS is working with FY17 (Cycle 3) and FY19 (Cycle 1) states to develop CAPs.
","Dec  1 2019 12:00AM","Q3 2020"
"Aug 13 2020  1:22PM","Aug 13 2020  1:22PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","None.
","","Q3 2020"
"Aug 13 2020  1:37PM","Aug 13 2020  1:37PM","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","None.
","","Q3 2020"
"Aug 13 2020  4:17PM","Aug 13 2020  4:17PM","ED","William D. Ford Federal Direct Loan Program ","FSA issued additional guidance to address the continued challenges that schools and their students face due to the COVID-19 pandemic, including guidance about documentation acceptable to complete verification for nontax filers and extension filers. ","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  4:42PM","Aug 13 2020  4:42PM","USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","In February 2020, FNS revised its internal standard operating procedures for providing payment accuracy technical assistance to State agencies.  FNS uses a risk based approach to categorize State agencies into payment accuracy risk levels.","Jan  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  5:02PM","Aug 13 2020  5:02PM","ED","Federal Pell Grant Program","FSA issued additional guidance to address the continued challenges that schools and their students face due to the COVID-19 pandemic, including guidance about documentation acceptable to complete verification for nontax filers and extension filers. ","Jul  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  5:07PM","Aug 13 2020  5:07PM","USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","The newest APEC study (APEC III) has been completed and the final report is in Department clearance. FNS anticipates it will be publicly available late this year.","Jan  1 2020 12:00AM","Q3 2020"
"Aug 13 2020  7:55PM","Aug 13 2020  7:55PM","USDA","Food and Nutrition Service (FNS) School Breakfast Program (SBP)","The newest APEC study (APEC III) has been completed and the final report is in Department clearance. FNS anticipates it will be publicly available late this year.","Jan  1 2020 12:00AM","Q3 2020"
"Aug 14 2020 10:11AM","Aug 14 2020 10:11AM","DOD","Military Pay","Hosted trainings sessions and conducted walkthroughs of the MILPAY business practices/processes to expand the knowledge base of post payment reviewers in order to conduct a thorough review of payments.","Feb  1 2020 12:00AM","Q3 2020"
"Aug 14 2020 10:23AM","Aug 14 2020 10:23AM","DOD","Military Retirement","System changes implemented to reduce backlogs. Annuity backlogs went from 20,000 cases in FY19 down to less than 1,000 cases.","Jun  1 2020 12:00AM","Q3 2020"
